n,k,oc,m3,m5,m7,m11,m13,m17
1,0,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1
3,0,3,0,3,3,3,3,3
4,2,1,1,1,1,1,1,1
5,0,5,2,0,5,5,5,5
6,1,3,0,3,3,3,3,3
7,0,7,1,2,0,7,7,7
8,3,1,1,1,1,1,1,1
9,0,9,0,4,2,9,9,9
10,1,5,2,0,5,5,5,5
11,0,11,2,1,4,0,11,11
12,2,3,0,3,3,3,3,3
13,0,13,1,3,6,2,0,13
14,1,7,1,2,0,7,7,7
15,0,15,0,0,1,4,2,15
16,4,1,1,1,1,1,1,1
17,0,17,2,2,3,6,4,0
18,1,9,0,4,2,9,9,9
19,0,19,1,4,5,8,6,2
20,2,5,2,0,5,5,5,5
21,0,21,0,1,0,10,8,4
22,1,11,2,1,4,0,11,11
23,0,23,2,3,2,1,10,6
24,3,3,0,3,3,3,3,3
25,0,25,1,0,4,3,12,8
26,1,13,1,3,6,2,0,13
27,0,27,0,2,6,5,1,10
28,2,7,1,2,0,7,7,7
29,0,29,2,4,1,7,3,12
30,1,15,0,0,1,4,2,15
31,0,31,1,1,3,9,5,14
32,5,1,1,1,1,1,1,1
33,0,33,0,3,5,0,7,16
34,1,17,2,2,3,6,4,0
35,0,35,2,0,0,2,9,1
36,2,9,0,4,2,9,9,9
37,0,37,1,2,2,4,11,3
38,1,19,1,4,5,8,6,2
39,0,39,0,4,4,6,0,5
40,3,5,2,0,5,5,5,5
41,0,41,2,1,6,8,2,7
42,1,21,0,1,0,10,8,4
43,0,43,1,3,1,10,4,9
44,2,11,2,1,4,0,11,11
45,0,45,0,0,3,1,6,11
46,1,23,2,3,2,1,10,6
47,0,47,2,2,5,3,8,13
48,4,3,0,3,3,3,3,3
49,0,49,1,4,0,5,10,15
50,1,25,1,0,4,3,12,8
51,0,51,0,1,2,7,12,0
52,2,13,1,3,6,2,0,13
53,0,53,2,3,4,9,1,2
54,1,27,0,2,6,5,1,10
55,0,55,1,0,6,0,3,4
56,3,7,1,2,0,7,7,7
57,0,57,0,2,1,2,5,6
58,1,29,2,4,1,7,3,12
59,0,59,2,4,3,4,7,8
60,2,15,0,0,1,4,2,15
61,0,61,1,1,5,6,9,10
62,1,31,1,1,3,9,5,14
63,0,63,0,3,0,8,11,12
64,6,1,1,1,1,1,1,1
65,0,65,2,0,2,10,0,14
66,1,33,0,3,5,0,7,16
67,0,67,1,2,4,1,2,16
68,2,17,2,2,3,6,4,0
69,0,69,0,4,6,3,4,1
70,1,35,2,0,0,2,9,1
71,0,71,2,1,1,5,6,3
72,3,9,0,4,2,9,9,9
73,0,73,1,3,3,7,8,5
74,1,37,1,2,2,4,11,3
75,0,75,0,0,5,9,10,7
76,2,19,1,4,5,8,6,2
77,0,77,2,2,0,0,12,9
78,1,39,0,4,4,6,0,5
79,0,79,1,4,2,2,1,11
80,4,5,2,0,5,5,5,5
81,0,81,0,1,4,4,3,13
82,1,41,2,1,6,8,2,7
83,0,83,2,3,6,6,5,15
84,2,21,0,1,0,10,8,4
85,0,85,1,0,1,8,7,0
86,1,43,1,3,1,10,4,9
87,0,87,0,2,3,10,9,2
88,3,11,2,1,4,0,11,11
89,0,89,2,4,5,1,11,4
90,1,45,0,0,3,1,6,11
91,0,91,1,1,0,3,0,6
92,2,23,2,3,2,1,10,6
93,0,93,0,3,2,5,2,8
94,1,47,2,2,5,3,8,13
95,0,95,2,0,4,7,4,10
96,5,3,0,3,3,3,3,3
97,0,97,1,2,6,9,6,12
98,1,49,1,4,0,5,10,15
99,0,99,0,4,1,0,8,14
100,2,25,1,0,4,3,12,8
101,0,101,2,1,3,2,10,16
102,1,51,0,1,2,7,12,0
103,0,103,1,3,5,4,12,1
104,3,13,1,3,6,2,0,13
105,0,105,0,0,0,6,1,3
106,1,53,2,3,4,9,1,2
107,0,107,2,2,2,8,3,5
108,2,27,0,2,6,5,1,10
109,0,109,1,4,4,10,5,7
110,1,55,1,0,6,0,3,4
111,0,111,0,1,6,1,7,9
112,4,7,1,2,0,7,7,7
113,0,113,2,3,1,3,9,11
114,1,57,0,2,1,2,5,6
115,0,115,1,0,3,5,11,13
116,2,29,2,4,1,7,3,12
117,0,117,0,2,5,7,0,15
118,1,59,2,4,3,4,7,8
119,0,119,2,4,0,9,2,0
120,3,15,0,0,1,4,2,15
121,0,121,1,1,2,0,4,2
122,1,61,1,1,5,6,9,10
123,0,123,0,3,4,2,6,4
124,2,31,1,1,3,9,5,14
125,0,125,2,0,6,4,8,6
126,1,63,0,3,0,8,11,12
127,0,127,1,2,1,6,10,8
128,7,1,1,1,1,1,1,1
129,0,129,0,4,3,8,12,10
130,1,65,2,0,2,10,0,14
131,0,131,2,1,5,10,1,12
132,2,33,0,3,5,0,7,16
133,0,133,1,3,0,1,3,14
134,1,67,1,2,4,1,2,16
135,0,135,0,0,2,3,5,16
136,3,17,2,2,3,6,4,0
137,0,137,2,2,4,5,7,1
138,1,69,0,4,6,3,4,1
139,0,139,1,4,6,7,9,3
140,2,35,2,0,0,2,9,1
141,0,141,0,1,1,9,11,5
142,1,71,2,1,1,5,6,3
143,0,143,2,3,3,0,0,7
144,4,9,0,4,2,9,9,9
145,0,145,1,0,5,2,2,9
146,1,73,1,3,3,7,8,5
147,0,147,0,2,0,4,4,11
148,2,37,1,2,2,4,11,3
149,0,149,2,4,2,6,6,13
150,1,75,0,0,5,9,10,7
151,0,151,1,1,4,8,8,15
152,3,19,1,4,5,8,6,2
153,0,153,0,3,6,10,10,0
154,1,77,2,2,0,0,12,9
155,0,155,2,0,1,1,12,2
156,2,39,0,4,4,6,0,5
157,0,157,1,2,3,3,1,4
158,1,79,1,4,2,2,1,11
159,0,159,0,4,5,5,3,6
160,5,5,2,0,5,5,5,5
161,0,161,2,1,0,7,5,8
162,1,81,0,1,4,4,3,13
163,0,163,1,3,2,9,7,10
164,2,41,2,1,6,8,2,7
165,0,165,0,0,4,0,9,12
166,1,83,2,3,6,6,5,15
167,0,167,2,2,6,2,11,14
168,3,21,0,1,0,10,8,4
169,0,169,1,4,1,4,0,16
170,1,85,1,0,1,8,7,0
171,0,171,0,1,3,6,2,1
172,2,43,1,3,1,10,4,9
173,0,173,2,3,5,8,4,3
174,1,87,0,2,3,10,9,2
175,0,175,1,0,0,10,6,5
176,4,11,2,1,4,0,11,11
177,0,177,0,2,2,1,8,7
178,1,89,2,4,5,1,11,4
179,0,179,2,4,4,3,10,9
180,2,45,0,0,3,1,6,11
181,0,181,1,1,6,5,12,11
182,1,91,1,1,0,3,0,6
183,0,183,0,3,1,7,1,13
184,3,23,2,3,2,1,10,6
185,0,185,2,0,3,9,3,15
186,1,93,0,3,2,5,2,8
187,0,187,1,2,5,0,5,0
188,2,47,2,2,5,3,8,13
189,0,189,0,4,0,2,7,2
190,1,95,2,0,4,7,4,10
191,0,191,2,1,2,4,9,4
192,6,3,0,3,3,3,3,3
193,0,193,1,3,4,6,11,6
194,1,97,1,2,6,9,6,12
195,0,195,0,0,6,8,0,8
196,2,49,1,4,0,5,10,15
197,0,197,2,2,1,10,2,10
198,1,99,0,4,1,0,8,14
199,0,199,1,4,3,1,4,12
200,3,25,1,0,4,3,12,8
201,0,201,0,1,5,3,6,14
202,1,101,2,1,3,2,10,16
203,0,203,2,3,0,5,8,16
204,2,51,0,1,2,7,12,0
205,0,205,1,0,2,7,10,1
206,1,103,1,3,5,4,12,1
207,0,207,0,2,4,9,12,3
208,4,13,1,3,6,2,0,13
209,0,209,2,4,6,0,1,5
210,1,105,0,0,0,6,1,3
211,0,211,1,1,1,2,3,7
212,2,53,2,3,4,9,1,2
213,0,213,0,3,3,4,5,9
214,1,107,2,2,2,8,3,5
215,0,215,2,0,5,6,7,11
216,3,27,0,2,6,5,1,10
217,0,217,1,2,0,8,9,13
218,1,109,1,4,4,10,5,7
219,0,219,0,4,2,10,11,15
220,2,55,1,0,6,0,3,4
221,0,221,2,1,4,1,0,0
222,1,111,0,1,6,1,7,9
223,0,223,1,3,6,3,2,2
224,5,7,1,2,0,7,7,7
225,0,225,0,0,1,5,4,4
226,1,113,2,3,1,3,9,11
227,0,227,2,2,3,7,6,6
228,2,57,0,2,1,2,5,6
229,0,229,1,4,5,9,8,8
230,1,115,1,0,3,5,11,13
231,0,231,0,1,0,0,10,10
232,3,29,2,4,1,7,3,12
233,0,233,2,3,2,2,12,12
234,1,117,0,2,5,7,0,15
235,0,235,1,0,4,4,1,14
236,2,59,2,4,3,4,7,8
237,0,237,0,2,6,6,3,16
238,1,119,2,4,0,9,2,0
239,0,239,2,4,1,8,5,1
240,4,15,0,0,1,4,2,15
241,0,241,1,1,3,10,7,3
242,1,121,1,1,2,0,4,2
243,0,243,0,3,5,1,9,5
244,2,61,1,1,5,6,9,10
245,0,245,2,0,0,3,11,7
246,1,123,0,3,4,2,6,4
247,0,247,1,2,2,5,0,9
248,3,31,1,1,3,9,5,14
249,0,249,0,4,4,7,2,11
250,1,125,2,0,6,4,8,6
251,0,251,2,1,6,9,4,13
252,2,63,0,3,0,8,11,12
253,0,253,1,3,1,0,6,15
254,1,127,1,2,1,6,10,8
255,0,255,0,0,3,2,8,0
256,8,1,1,1,1,1,1,1
257,0,257,2,2,5,4,10,2
258,1,129,0,4,3,8,12,10
259,0,259,1,4,0,6,12,4
260,2,65,2,0,2,10,0,14
261,0,261,0,1,2,8,1,6
262,1,131,2,1,5,10,1,12
263,0,263,2,3,4,10,3,8
264,3,33,0,3,5,0,7,16
265,0,265,1,0,6,1,5,10
266,1,133,1,3,0,1,3,14
267,0,267,0,2,1,3,7,12
268,2,67,1,2,4,1,2,16
269,0,269,2,4,3,5,9,14
270,1,135,0,0,2,3,5,16
271,0,271,1,1,5,7,11,16
272,4,17,2,2,3,6,4,0
273,0,273,0,3,0,9,0,1
274,1,137,2,2,4,5,7,1
275,0,275,2,0,2,0,2,3
276,2,69,0,4,6,3,4,1
277,0,277,1,2,4,2,4,5
278,1,139,1,4,6,7,9,3
279,0,279,0,4,6,4,6,7
280,3,35,2,0,0,2,9,1
281,0,281,2,1,1,6,8,9
282,1,141,0,1,1,9,11,5
283,0,283,1,3,3,8,10,11
284,2,71,2,1,1,5,6,3
285,0,285,0,0,5,10,12,13
286,1,143,2,3,3,0,0,7
287,0,287,2,2,0,1,1,15
288,5,9,0,4,2,9,9,9
289,0,289,1,4,2,3,3,0
290,1,145,1,0,5,2,2,9
291,0,291,0,1,4,5,5,2
292,2,73,1,3,3,7,8,5
293,0,293,2,3,6,7,7,4
294,1,147,0,2,0,4,4,11
295,0,295,1,0,1,9,9,6
296,3,37,1,2,2,4,11,3
297,0,297,0,2,3,0,11,8
298,1,149,2,4,2,6,6,13
299,0,299,2,4,5,2,0,10
300,2,75,0,0,5,9,10,7
301,0,301,1,1,0,4,2,12
302,1,151,1,1,4,8,8,15
303,0,303,0,3,2,6,4,14
304,4,19,1,4,5,8,6,2
305,0,305,2,0,4,8,6,16
306,1,153,0,3,6,10,10,0
307,0,307,1,2,6,10,8,1
308,2,77,2,2,0,0,12,9
309,0,309,0,4,1,1,10,3
310,1,155,2,0,1,1,12,2
311,0,311,2,1,3,3,12,5
312,3,39,0,4,4,6,0,5
313,0,313,1,3,5,5,1,7
314,1,157,1,2,3,3,1,4
315,0,315,0,0,0,7,3,9
316,2,79,1,4,2,2,1,11
317,0,317,2,2,2,9,5,11
318,1,159,0,4,5,5,3,6
319,0,319,1,4,4,0,7,13
320,6,5,2,0,5,5,5,5
321,0,321,0,1,6,2,9,15
322,1,161,2,1,0,7,5,8
323,0,323,2,3,1,4,11,0
324,2,81,0,1,4,4,3,13
325,0,325,1,0,3,6,0,2
326,1,163,1,3,2,9,7,10
327,0,327,0,2,5,8,2,4
328,3,41,2,1,6,8,2,7
329,0,329,2,4,0,10,4,6
330,1,165,0,0,4,0,9,12
331,0,331,1,1,2,1,6,8
332,2,83,2,3,6,6,5,15
333,0,333,0,3,4,3,8,10
334,1,167,2,2,6,2,11,14
335,0,335,2,0,6,5,10,12
336,4,21,0,1,0,10,8,4
337,0,337,1,2,1,7,12,14
338,1,169,1,4,1,4,0,16
339,0,339,0,4,3,9,1,16
340,2,85,1,0,1,8,7,0
341,0,341,2,1,5,0,3,1
342,1,171,0,1,3,6,2,1
343,0,343,1,3,0,2,5,3
344,3,43,1,3,1,10,4,9
345,0,345,0,0,2,4,7,5
346,1,173,2,3,5,8,4,3
347,0,347,2,2,4,6,9,7
348,2,87,0,2,3,10,9,2
349,0,349,1,4,6,8,11,9
350,1,175,1,0,0,10,6,5
351,0,351,0,1,1,10,0,11
352,5,11,2,1,4,0,11,11
353,0,353,2,3,3,1,2,13
354,1,177,0,2,2,1,8,7
355,0,355,1,0,5,3,4,15
356,2,89,2,4,5,1,11,4
357,0,357,0,2,0,5,6,0
358,1,179,2,4,4,3,10,9
359,0,359,2,4,2,7,8,2
360,3,45,0,0,3,1,6,11
361,0,361,1,1,4,9,10,4
362,1,181,1,1,6,5,12,11
363,0,363,0,3,6,0,12,6
364,2,91,1,1,0,3,0,6
365,0,365,2,0,1,2,1,8
366,1,183,0,3,1,7,1,13
367,0,367,1,2,3,4,3,10
368,4,23,2,3,2,1,10,6
369,0,369,0,4,5,6,5,12
370,1,185,2,0,3,9,3,15
371,0,371,2,1,0,8,7,14
372,2,93,0,3,2,5,2,8
373,0,373,1,3,2,10,9,16
374,1,187,1,2,5,0,5,0
375,0,375,0,0,4,1,11,1
376,3,47,2,2,5,3,8,13
377,0,377,2,2,6,3,0,3
378,1,189,0,4,0,2,7,2
379,0,379,1,4,1,5,2,5
380,2,95,2,0,4,7,4,10
381,0,381,0,1,3,7,4,7
382,1,191,2,1,2,4,9,4
383,0,383,2,3,5,9,6,9
384,7,3,0,3,3,3,3,3
385,0,385,1,0,0,0,8,11
386,1,193,1,3,4,6,11,6
387,0,387,0,2,2,2,10,13
388,2,97,1,2,6,9,6,12
389,0,389,2,4,4,4,12,15
390,1,195,0,0,6,8,0,8
391,0,391,1,1,6,6,1,0
392,3,49,1,4,0,5,10,15
393,0,393,0,3,1,8,3,2
394,1,197,2,2,1,10,2,10
395,0,395,2,0,3,10,5,4
396,2,99,0,4,1,0,8,14
397,0,397,1,2,5,1,7,6
398,1,199,1,4,3,1,4,12
399,0,399,0,4,0,3,9,8
400,4,25,1,0,4,3,12,8
401,0,401,2,1,2,5,11,10
402,1,201,0,1,5,3,6,14
403,0,403,1,3,4,7,0,12
