runs, steps  runs, steps  runs, steps  runs, steps  runs, steps  runs, steps  runs, steps  runs, steps  runs, steps  runs, steps
 479, 2278    493, 2563    497, 2381    549, 2294    491, 2224    485, 2308    497, 2390    505, 2626    519, 2387    479, 2287
 515, 2468    499, 2303    489, 2390    493, 2442    501, 2138    513, 2815    517, 2279    487, 2133    495, 2429    517, 2303
 523, 2306    493, 2482    511, 2523    487, 2551    489, 2641    523, 2257    473, 2436    493, 2138    521, 2514    483, 2762
 499, 2633    513, 2474    511, 2742    501, 2501    517, 2007    513, 2448    503, 2489    523, 2440    495, 2390    547, 2248
 471, 2463    501, 2255    477, 2301    513, 2425    505, 2313    513, 2257    495, 2171    501, 2453    495, 2330    515, 2250
 503, 2196    501, 2582    507, 2505    487, 2450    463, 2629    495, 2488    471, 2420    479, 2373    501, 2331    483, 2388
 495, 2243    495, 2424    495, 2416    509, 2471    527, 2485    507, 2108    519, 2293    507, 2680    521, 2583    475, 2347
 503, 2449    485, 2449    483, 1959    521, 2217    489, 2363    509, 2270    499, 2413    487, 2194    495, 2345    507, 2443
 521, 2413    525, 2454    499, 2278    525, 2738    507, 2513    489, 2344    503, 2402    483, 2561    501, 2557    495, 2621
 517, 2355    511, 2425    481, 2408    495, 2377    529, 2478    491, 2450    489, 2246    495, 2617    521, 2431    497, 2341
 491, 2341    513, 2446    489, 2188    477, 2596    511, 2193    501, 2347    497, 2222    477, 2624    505, 2202    485, 2282
 517, 2205    491, 2147    475, 2422    489, 2507    497, 2284    501, 2823    493, 2501    481, 2058    521, 2231    479, 2504
 483, 2379    495, 2438    519, 2406    519, 2468    495, 2215    497, 2228    495, 2289    477, 2281    453, 2456    489, 2404
 451, 2467    523, 2307    501, 2563    497, 2512    529, 2364    499, 2169    473, 2086    485, 2224    509, 2423    513, 2381
 507, 2667    511, 2487    513, 2434    475, 2582    481, 2315    491, 2486    519, 2678    503, 2506    481, 2523    487, 2305
 489, 2493    465, 2258    507, 2392    555, 2196    499, 2233    491, 2340    491, 2368    493, 2212    507, 2127    483, 2279
 467, 2331    503, 2186    479, 2051    523, 2385    497, 2304    523, 2469    495, 2282    477, 2374    517, 2444    495, 2158
 487, 2629    513, 2278    503, 2655    507, 2490    485, 2242    495, 2198    499, 2436    491, 2046    523, 2507    497, 2511
