runs, steps
 479, 2278
 515, 2468
 523, 2306
 499, 2633
 471, 2463
 503, 2196
 495, 2243
 503, 2449
 521, 2413
 517, 2355
 491, 2341
 517, 2205
 483, 2379
 451, 2467
 507, 2667
 489, 2493
 467, 2331
 487, 2629
 463, 2552
 511, 2403
 523, 2553
 479, 2295
 527, 2439
 485, 2409
 531, 2463
 523, 2498
 507, 2443
 519, 2366
 529, 2228
 475, 2263
 541, 2405
 479, 2296
 477, 2538
 497, 2727
 495, 2555
 481, 2570
 477, 2542
 477, 2614
 473, 2496
 521, 2161
 487, 2389
 489, 2617
 497, 2157
 537, 2345
 499, 2551
 501, 2276
 497, 2487
 503, 2282
 503, 2523
 495, 2137
 519, 2495
 487, 2695
 517, 2526
 511, 2178
 515, 2372
 545, 2106
 485, 2382
 517, 2444
 513, 2296
 483, 2429
 473, 2388
 485, 2799
 517, 2374
 537, 2633
 479, 2482
 501, 2499
 533, 2532
 479, 2352
 505, 2362
 485, 2437
 521, 2122
 497, 2414
 493, 2173
 505, 2566
 495, 2199
 495, 2328
 519, 2276
 479, 2700
 519, 2125
 537, 2526
 471, 2443
 503, 2186
 509, 2341
 503, 2666
 489, 2491
 469, 2358
 517, 2501
 519, 2552
 487, 2913
 499, 2154
 503, 2266
 509, 2210
 511, 2272
 481, 2285
 491, 2285
 525, 2513
 511, 2465
 487, 2386
 501, 2612
 505, 2755
 493, 2563
 499, 2303
 493, 2482
 513, 2474
 501, 2255
 501, 2582
 495, 2424
 485, 2449
 525, 2454
 511, 2425
 513, 2446
 491, 2147
 495, 2438
 523, 2307
 511, 2487
 465, 2258
 503, 2186
 513, 2278
 487, 2441
 495, 2152
 513, 2452
 499, 2075
 481, 2138
 485, 2176
 491, 2235
 487, 2424
 489, 2648
 487, 2600
 489, 2374
 499, 2156
 503, 2212
 505, 2223
 517, 2518
 487, 2180
 495, 2207
 477, 2499
 491, 2613
 485, 2704
 535, 2277
 495, 2224
 477, 2415
 473, 2287
 461, 2822
 505, 2158
 481, 2256
 509, 2296
 485, 2314
 499, 2498
 517, 2461
 471, 2195
 523, 2277
 487, 2439
 485, 2267
 483, 2226
 503, 2363
 495, 2285
 501, 2240
 483, 2272
 485, 2284
 523, 2575
 505, 2406
 467, 2467
 511, 2679
 507, 2431
 491, 2464
 507, 2178
 477, 2375
 515, 2250
 489, 2201
 511, 2264
 489, 2405
 523, 2352
 473, 2386
 487, 2371
 503, 2224
 497, 2624
 499, 2307
 497, 2477
 525, 2278
 479, 2210
 487, 2465
 497, 2419
 519, 2328
 505, 2516
 495, 2342
 505, 2244
 515, 2411
 507, 2242
 495, 2597
 517, 2407
 501, 2817
 495, 2343
 479, 2200
 517, 2216
 531, 2525
 513, 1990
 509, 2680
 517, 2299
 509, 2236
 495, 2449
 497, 2381
 489, 2390
 511, 2523
 511, 2742
 477, 2301
 507, 2505
 495, 2416
 483, 1959
 499, 2278
 481, 2408
 489, 2188
 475, 2422
 519, 2406
 501, 2563
 513, 2434
 507, 2392
 479, 2051
 503, 2655
 517, 2342
 487, 2464
 499, 2354
 533, 2477
 517, 2318
 493, 2323
 535, 2501
 517, 2255
 497, 2243
 481, 2310
 483, 2395
 495, 2412
 481, 2698
 487, 2610
 509, 2458
 509, 2387
 483, 2677
 495, 2342
 505, 2436
 525, 2210
 529, 2434
 493, 2615
 505, 2484
 487, 2323
 493, 2221
 503, 2590
 511, 2581
 495, 2363
 497, 2554
 527, 2525
 483, 2235
 507, 2498
 513, 2265
 503, 2558
 507, 2419
 489, 2173
 531, 2175
 477, 2609
 473, 2518
 477, 2656
 505, 2414
 485, 2251
 487, 2640
 503, 2773
 509, 2301
 487, 2368
 521, 2026
 513, 2299
 489, 2531
 477, 2398
 491, 2637
 511, 1900
 507, 2535
 493, 2557
 483, 2551
 499, 2427
 481, 2277
 505, 2339
 509, 2472
 491, 2532
 509, 2238
 509, 2178
 531, 2246
 511, 2488
 507, 2657
 507, 2400
 507, 2222
 499, 2478
 519, 2245
 497, 2264
 521, 2497
 511, 2328
 511, 2373
 483, 2442
 493, 2592
 501, 2437
 493, 2478
 503, 2346
 501, 2125
 501, 2451
 525, 2274
 499, 2391
 549, 2294
 493, 2442
 487, 2551
 501, 2501
 513, 2425
 487, 2450
 509, 2471
 521, 2217
 525, 2738
 495, 2377
 477, 2596
 489, 2507
 519, 2468
 497, 2512
 475, 2582
 555, 2196
 523, 2385
 507, 2490
 505, 2677
 483, 2554
 489, 2225
 497, 2574
 515, 2723
 497, 2408
 527, 2326
 537, 2395
 493, 2259
 501, 2277
 503, 2617
 509, 2594
 491, 2485
 481, 2136
 501, 2344
 493, 2295
 489, 2303
 523, 2462
 501, 2450
 483, 2477
 481, 2500
 479, 2139
 543, 2323
 513, 2548
 507, 2617
 481, 2480
 501, 2548
 543, 2472
 515, 2645
 507, 2416
 511, 2274
 541, 2273
 491, 2286
 491, 2507
 509, 2687
 483, 2435
 503, 2648
 511, 2273
 509, 2216
 519, 2231
 493, 2450
 503, 2560
 513, 2100
 501, 2246
 481, 2465
 463, 2549
 519, 2457
 477, 2421
 517, 2484
 503, 2544
 513, 2364
 491, 2234
 465, 2453
 483, 2318
 493, 2185
 483, 2272
 491, 2440
 503, 2152
 507, 2390
 499, 2356
 479, 2450
 483, 2340
 501, 2531
 523, 2349
 499, 2414
 491, 2443
 489, 2356
 503, 2390
 489, 2153
 503, 2439
 507, 2379
 471, 2430
 487, 2207
 485, 2411
 505, 2185
 483, 2401
 507, 2669
 511, 2558
 493, 2315
 515, 2425
 517, 2548
 543, 2553
 491, 2224
 501, 2138
 489, 2641
 517, 2007
 505, 2313
 463, 2629
 527, 2485
 489, 2363
 507, 2513
 529, 2478
 511, 2193
 497, 2284
 495, 2215
 529, 2364
 481, 2315
 499, 2233
 497, 2304
 485, 2242
 499, 2626
 497, 2591
 517, 2461
 493, 2435
 497, 2593
 517, 2457
 503, 2691
 507, 2299
 467, 2532
 487, 2467
 487, 2533
 521, 2246
 493, 2468
 509, 2850
 501, 2241
 489, 2631
 491, 2436
 485, 2379
 503, 2638
 485, 2467
 533, 2361
 499, 2635
 523, 2369
 459, 2538
 527, 2667
 503, 2345
 509, 2367
 503, 2488
 489, 2196
 491, 2161
 501, 2365
 503, 2411
 481, 2553
 513, 2126
 539, 2403
 509, 2288
 495, 2282
 493, 2504
 483, 2086
 511, 2415
 503, 2597
