runs  - runs of identical bits in the binary representation of a random 1000-bit odd number
steps - the number of odd-to-odd Collatz iterations to terminate at 1

runs, steps
 485, 2423
 535, 2100
 503, 2526
 515, 2448
 507, 2216
 505, 2496
 483, 2933
 495, 2079
 495, 2443
 501, 2515
 505, 2298
 511, 2495
 499, 2449
 505, 2588
 499, 2646
 473, 2420
 485, 2272
 465, 2420
 491, 2412
 527, 2559
 497, 2147
 515, 2136
 483, 2281
 473, 2327
 507, 2431
 487, 2254
 503, 2610
 489, 2068
 479, 2492
 487, 2373
 495, 2580
 487, 2459
 481, 2421
 495, 2408
 485, 2522
 495, 2257
 501, 2299
 501, 2415
 515, 2157
 493, 2382
 517, 2628
 501, 2346
 515, 2407
 495, 2135
 503, 2227
 493, 2383
 487, 2689
 479, 2217
 517, 1942
 503, 1998
 499, 2705
 511, 2333
 499, 2389
 519, 2444
 491, 2517
 495, 2395
 495, 2151
 489, 2562
 507, 2638
 497, 2074
 499, 2645
 483, 2741
 501, 2486
 513, 2519
 467, 2293
 489, 2258
 499, 2352
 447, 2279
 513, 2270
 469, 2243
 485, 2405
 491, 2349
 515, 2374
 507, 2528
 479, 2396
 509, 2224
 467, 2634
 485, 2202
 509, 2549
 503, 2559
 491, 2510
 507, 2371
 493, 2602
 513, 2623
 525, 2431
 505, 2529
 509, 2606
 487, 2424
 479, 2497
 493, 2622
 511, 2544
 495, 2329
 513, 2582
 503, 2623
 501, 2708
 497, 2301
 501, 2643
 497, 2408
 541, 2376
 473, 2599
