# The odd-to-odd Collatz orbit of 27

n          - a positive integer
dist       - the number of odd-to-odd Collatz for n steps to reach 1
base3      - the ternary representation of n
base2      - the binary representation of n
factors    - the prime factors of n
pdist      - the distance from n to the nearest prime
nl         - the odd core valuation of the even number n-1 to the left of odd n
factorsl   - the prime factors of n-1
nr         - the odd core valuation of the even number n+1 to the right of odd n
factorsr   - the prime factors of n+1
tcn        - the nearest "ternary core", among (0, 1, 2), after dividing out powers of three
hsum       - the harmonic sum, the sum of the reciprocals of the prime factors of n
π          - the prime counting function π(n), the number of primes less than or equal to n
π~         - an estimate of the prime counting function π(n), the number of primes less than or equal to n: n / (log n - 1)
R          - the Riemann R function R(n)
Li         - the logarithmic integral Li(n)
θ          - the Chebyshev θ(n) function, the sum of log p for primes p ≤ n
ψ          - the Chebyshev ψ(n) function, the sum of log p for prime powers p^k ≤ n
Λ          - the von Mangoldt function of n, Λ(n)
τ          - the number of divisors of n, τ(n)
σ          - the sum of divisors of n, σ(n)
φ          - the Euler totient of n, φ(n)
λ          - the Carmichael function of n, λ(n)
Dψ         - the Dedekind ψ(n) function
μ          - the Möbius function of n, which is 1 if n is a product of an even number of distinct primes, -1 if odd, and 0 if any prime is repeated
ω          - the number of distinct prime factors of n, ω(n)
Ω          - the total number of prime factors of n, counting multiplicity, Ω(n)
ℓ          - the Liouville function of n, ℓ(n) = (-1)^Ω(n)
M          - the Mertens function M(n)
m*         - the prime residues of n modulo a set of primes
rvol       - the residue volatility of n, the sum of the prime residues of n weighted by 1/p
rvolabs    - the absolute residue volatility of n, the sum of the prime residues of n
psym       - the symmetric primes at equal offsets around n
crad       - the Collatz "cursor radical" of n, the product of its prime factors above 3
cmask      - factor mask of Collatz "cursor radical" of n

   n,   dist,   base3,         base2, factors, pdist,        nl, factorsl,         nr, factorsr,   tcn,     hsum,    π,       π~,        R,       Li,         θ,         ψ,      Λ,  τ,     σ,     φ,     λ,    Dψ,   μ,  ω,  Ω,   ℓ,    M, m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37,  rvol,   rvolabs, psym,                                        crad, cmask
  27,   41,      1000,         11011, 3³,          2,    (13 1), 2⋅13,          (7 2), 2²⋅7,         1,  0.33333,    9,   11.760,    9.528,   12.127,    19.223,    31.886,  1.099,  4,    40,    18,    18,    36,   0,  1,  3,  -1,   -1,  0,  2,  6,   5,   1,  10,   8,   4,  27,  27,  27,  0.900,    3.000, 4 10 14 16 20,                                  1,
  41,   40,      1112,        101001, 41,          0,     (5 3), 2³⋅5,         (21 1), 2⋅3⋅7,       14,  0.02439,   13,   15.109,   12.802,   16.110,    33.349,    50.293,  3.714,  2,    42,    40,    40,    42,  -1,  1,  1,  -1,   -1,  2,  1,  6,   8,   2,   7,   3,  18,  12,  10,   4,  1.367,    4.000, 12 18 30 38,                                   41,           X
  31,   39,      1011,         11111, 31,          0,    (15 1), 2⋅3⋅5,         (1 5), 2⁵,          10,  0.03226,   11,   12.736,   10.564,   13.315,    26.024,    39.320,  3.434,  2,    32,    30,    30,    32,  -1,  1,  1,  -1,   -4,  1,  1,  3,   9,   5,  14,  12,   8,   2,   0,  31,  1.033,    3.000, 12 28,                                         31,         X
  47,   38,      1202,        101111, 47,          0,    (23 1), 2⋅23,          (3 4), 2⁴⋅3,        16,  0.02128,   15,   16.490,   14.210,   17.696,    40.960,    56.429,  3.850,  2,    48,    46,    46,    47,  -1,  1,  1,  -1,   -3,  2,  2,  5,   3,   8,  13,   9,   1,  18,  16,  10,  1.567,    5.000, 6 24 36 42,                                    47,             X
  71,   37,      2122,       1000111, 71,          0,    (35 1), 2⋅5⋅7,         (9 3), 2³⋅3²,        8,  0.01408,   20,   21.761,   19.730,   23.597,    61.586,    83.481,  4.263,  2,    72,    70,    70,    72,  -1,  1,  1,  -1,   -3,  2,  1,  1,   5,   6,   3,  14,   2,  13,   9,  34,  1.510,    5.000, 12 18 30 42 60 66 68,                          71,                  X
 107,   36,     10222,       1101011, 107,         0,    (53 1), 2⋅53,         (27 2), 2²⋅3³,        4,  0.00935,   28,   29.133,   27.191,   31.635,    97.651,   120.990,  4.673,  2,   108,   106,   106,   107,  -1,  1,  1,  -1,   -3,  2,  2,  2,   8,   3,   5,  12,  15,  20,  14,  33,  1.852,    7.000, 6 24 60 66 84 90 104,                         107,                          X
 161,   35,     12222,      10100001, 7⋅23,        2,     (5 5), 2⁵⋅5,         (81 1), 2⋅3⁴,         2,  0.18634,   37,   39.447,   37.440,   42.682,   141.721,   175.017,  0.000,  4,   192,   132,    66,   191,   1,  2,  2,   1,    1,  2,  1,  0,   7,   5,   8,   9,   0,  16,   6,  13,  2.003,   11.000, 12 30 72 78 90 102 108 120 132 150 …,         161,  X    X
 121,   34,     11111,       1111001, 11²,         6,    (15 3), 2³⋅3⋅5,       (61 1), 2⋅61,        40,  0.09091,   30,   31.877,   29.963,   34.592,   107.070,   132.715,  2.398,  3,   133,   110,   110,   132,   0,  1,  2,   1,   -3,  1,  1,  2,   0,   4,   2,   7,   6,   5,  28,  10,  1.319,    5.000, 18 42 60 78 90 102 108 118,                    11,   X
  91,   33,     10101,       1011011, 7⋅13,        2,    (45 1), 2⋅3²⋅5,       (23 2), 2²⋅23,       10,  0.21978,   24,   25.920,   23.942,   28.152,    79.154,   100.317,  0.000,  4,   112,    72,    12,   111,   1,  2,  2,   1,   -1,  1,  1,  0,   3,   0,   6,  15,  22,   4,  29,  17,  1.033,    3.000, 12 18 48 60 72 88,                             91,  X X
 137,   32,     12002,      10001001, 137,         0,    (17 3), 2³⋅17,        (69 1), 2⋅3⋅23,      46,  0.00730,   33,   34.949,   32.911,   37.884,   121.709,   155.937,  4.920,  2,   138,   136,   136,   138,  -1,  1,  1,  -1,   -2,  2,  2,  4,   5,   7,   1,   4,  22,  21,  13,  26,  2.593,   14.000, 30 36 54 90 96 114 120 126 132 134,           137,                               X
