n       - an integer on a Collatz orbit
dist    - the odd-to-odd Collatz stopping distance of n (note this is sorted by factor set, not orbit)
factors - a mask of the odd prime factor set of n, where each ■ represents a prime factor (3, 5, 7, etc)

   n, dist, factors
1619,   14, -------------------------------------------------------------------------------------- 1619 →
1367,   11, -------------------------------------------------------------------------------------- 1367 →
 911,   12, --------------------------------------------------------------------------------------- 911 →
 719,   16, --------------------------------------------------------------------------------------- 719 →
 593,   25, --------------------------------------------------------------------------------------- 593 →
 577,    8, --------------------------------------------------------------------------------------- 577 →
 479,   17, --------------------------------------------------------------------------------------- 479 →
 433,    7, ----------------------------------------------------------------------------------■---------
 283,   20, -----------------------------------------------------------■--------------------------------
 263,   27, ------------------------------------------------------■-------------------------------------
 251,   22, ----------------------------------------------------■---------------------------------------
 233,   29, -------------------------------------------------■------------------------------------------
 167,   23, -------------------------------------■------------------------------------------------------
 137,   32, -------------------------------■------------------------------------------------------------
 107,   36, --------------------------■-----------------------------------------------------------------
 103,   31, -------------------------■------------------------------------------------------------------
  71,   37, ------------------■-------------------------------------------------------------------------
  61,    5, ----------------■---------------------------------------------------------------------------
  53,    2, --------------■-----------------------------------------------------------------------------
  47,   38, -------------■------------------------------------------------------------------------------
  41,   40, -----------■--------------------------------------------------------------------------------
  31,   39, ---------■----------------------------------------------------------------------------------
  23,    4, -------■------------------------------------------------------------------------------------
3077,    9, -----■----------------------------------■---------------------------------------------------
1079,   15, ----■----------------■----------------------------------------------------------------------
 377,   21, ----■---■-----------------------------------------------------------------------------------
 121,   34, ---■----------------------------------------------------------------------------------------
 319,   18, ---■----■-----------------------------------------------------------------------------------
2429,   13, --■----------------------------------------------------------------■------------------------
2051,   10, --■---------------------------------------------------------■-------------------------------
 161,   35, --■----■------------------------------------------------------------------------------------
  91,   33, --■-■---------------------------------------------------------------------------------------
   5,    1, -■------------------------------------------------------------------------------------------
 445,   24, -■--------------------■---------------------------------------------------------------------
 395,   26, -■------------------■-----------------------------------------------------------------------
 155,   30, -■-------■----------------------------------------------------------------------------------
 425,   19, -■---■--------------------------------------------------------------------------------------
 325,    6, -■--■---------------------------------------------------------------------------------------
  35,    3, -■■-----------------------------------------------------------------------------------------
 175,   28, -■■-----------------------------------------------------------------------------------------
  27,   41, ■-------------------------------------------------------------------------------------------
   1,    0, --------------------------------------------------------------------------------------------
   
