 n, triples
 7, 2+2+3
 9, 2+2+5 3+3+3
11, 2+2+7 3+3+5
13, 3+3+7 3+5+5
15, 2+2+11 3+5+7 5+5+5
17, 2+2+13 3+3+11 3+7+7 5+5+7
19, 3+3+13 3+5+11 5+7+7
21, 2+2+17 3+5+13 3+7+11 5+5+11 7+7+7
23, 2+2+19 3+3+17 3+7+13 5+5+13 5+7+11
25, 3+3+19 3+5+17 3+11+11 5+7+13 7+7+11
27, 2+2+23 3+5+19 3+7+17 3+11+13 5+5+17 5+11+11 7+7+13
29, 3+3+23 3+7+19 3+13+13 5+5+19 5+7+17 5+11+13 7+11+11
31, 3+5+23 3+11+17 5+7+19 5+13+13 7+7+17 7+11+13
33, 2+2+29 3+7+23 3+11+19 3+13+17 5+5+23 5+11+17 7+7+19 7+13+13 11+11+11
35, 2+2+31 3+3+29 3+13+19 5+7+23 5+11+19 5+13+17 7+11+17 11+11+13
37, 3+3+31 3+5+29 3+11+23 3+17+17 5+13+19 7+7+23 7+11+19 7+13+17 11+13+13
39, 3+5+31 3+7+29 3+13+23 3+17+19 5+5+29 5+11+23 5+17+17 7+13+19 11+11+17 13+13+13
41, 2+2+37 3+7+31 3+19+19 5+5+31 5+7+29 5+13+23 5+17+19 7+11+23 7+17+17 11+11+19 11+13+17
43, 3+3+37 3+11+29 3+17+23 5+7+31 5+19+19 7+7+29 7+13+23 7+17+19 11+13+19 13+13+17
45, 2+2+41 3+5+37 3+11+31 3+13+29 3+19+23 5+11+29 5+17+23 7+7+31 7+19+19 11+11+23 11+17+17 13+13+19
47, 2+2+43 3+3+41 3+7+37 3+13+31 5+5+37 5+11+31 5+13+29 5+19+23 7+11+29 7+17+23 11+13+23 11+17+19 13+17+17
49, 3+3+43 3+5+41 3+17+29 3+23+23 5+7+37 5+13+31 7+11+31 7+13+29 7+19+23 11+19+19 13+13+23 13+17+19
51, 2+2+47 3+5+43 3+7+41 3+11+37 3+17+31 3+19+29 5+5+41 5+17+29 5+23+23 7+7+37 7+13+31 11+11+29 11+17+23 13+19+19 17+17+17
53, 3+3+47 3+7+43 3+13+37 3+19+31 5+5+43 5+7+41 5+11+37 5+17+31 5+19+29 7+17+29 7+23+23 11+11+31 11+13+29 11+19+23 13+17+23 17+17+19
55, 3+5+47 3+11+41 3+23+29 5+7+43 5+13+37 5+19+31 7+7+41 7+11+37 7+17+31 7+19+29 11+13+31 13+13+29 13+19+23 17+19+19
57, 2+2+53 3+7+47 3+11+43 3+13+41 3+17+37 3+23+31 5+5+47 5+11+41 5+23+29 7+7+43 7+13+37 7+19+31 11+17+29 11+23+23 13+13+31 17+17+23 19+19+19
59, 3+3+53 3+13+43 3+19+37 5+7+47 5+11+43 5+13+41 5+17+37 5+23+31 7+11+41 7+23+29 11+11+37 11+17+31 11+19+29 13+17+29 13+23+23 17+19+23
61, 3+5+53 3+11+47 3+17+41 3+29+29 5+13+43 5+19+37 7+7+47 7+11+43 7+13+41 7+17+37 7+23+31 11+13+37 11+19+31 13+17+31 13+19+29 19+19+23
63, 2+2+59 3+7+53 3+13+47 3+17+43 3+19+41 3+23+37 3+29+31 5+5+53 5+11+47 5+17+41 5+29+29 7+13+43 7+19+37 11+11+41 11+23+29 13+13+37 13+19+31 17+17+29 17+23+23
65, 2+2+61 3+3+59 3+19+43 3+31+31 5+7+53 5+13+47 5+17+43 5+19+41 5+23+37 5+29+31 7+11+47 7+17+41 7+29+29 11+11+43 11+13+41 11+17+37 11+23+31 13+23+29 17+17+31 17+19+29 19+23+23
67, 3+3+61 3+5+59 3+11+53 3+17+47 3+23+41 5+19+43 5+31+31 7+7+53 7+13+47 7+17+43 7+19+41 7+23+37 7+29+31 11+13+43 11+19+37 13+13+41 13+17+37 13+23+31 17+19+31 19+19+29
69, 3+5+61 3+7+59 3+13+53 3+19+47 3+23+43 3+29+37 5+5+59 5+11+53 5+17+47 5+23+41 7+19+43 7+31+31 11+11+47 11+17+41 11+29+29 13+13+43 13+19+37 17+23+29 19+19+31 23+23+23
