n      - a positive integer
psym   - the symmetric primes at equal offsets around n

n,     psym
2,     
3,     
5,     2
7,     4
11,    6 8
13,    6 10
17,    6 12 14
19,    12
23,    6 18 20
29,    12 18 24
31,    12 28
37,    6 24 30 34
41,    12 18 30 38
43,    24 30 36 40
47,    6 24 36 42
53,    6 30 36 48 50
59,    12 30 42 48 54
61,    18 42 48
67,    6 30 36 60 64
71,    12 18 30 42 60 66 68
73,    6 30 36 54 66
79,    18 48 60 72
83,    24 30 54 66 80
89,    18 42 48 60 78 84
97,    30 54 60 66 84 94
101,   12 30 48 72 78 90 96 98
103,   6 24 36 60 90 96
107,   6 24 60 66 84 90 104
109,   30 42 48 72 90 102
113,   24 54 60 66 84 110
127,   24 30 54 66 84 96 114 124
131,   18 42 48 60 102 108 120 126
137,   30 36 54 90 96 114 120 126 132 134
139,   12 42 60 72 102 132
149,   18 42 48 78 90 102 108 120 132 144
151,   12 42 48 72 78 90 120 132
157,   6 54 84 114 120 126 150 154
163,   36 60 66 120 144 150
167,   30 60 66 84 96 114 126 144 150 164
173,   6 24 60 66 84 90 120 144
179,   12 48 72 78 90 132 138 168 174
181,   18 30 42 102 150 168 178
191,   42 60 78 90 102 120 162 168 188
193,   30 36 84 90 114 120 156 174 180 186 190
197,   30 60 66 84 96 114 150 156 186 192
199,   42 72 132 138 168 180
211,   12 18 30 60 72 102 138 168 198 208
223,   60 84 114 126 144 150 156 186 210 216 220
227,   30 36 54 90 120 126 156 174 204 216 222
229,   48 78 102 120 150 168 192 210
233,   6 36 60 84 120 126 150 186 210 216 228 230
239,   12 42 72 108 150 180 192 210 222 228
241,   30 42 90 132 138 168 180 198 222 238
251,   12 18 60 102 138 150 168 180 192 198 210 228 240 248
257,   6 24 60 90 126 144 174 186 204 210 234 246 252
263,   6 30 84 90 96 126 156 180 204 216 240 246 258 260
269,   12 42 78 90 120 132 162 180 198 210 222 240 252
271,   42 60 78 108 162 168 192 228 252
277,   6 36 54 96 120 180 210 246 264 270
281,   12 30 102 108 150 168 180 198 210 222 228 240 276
283,   54 84 90 126 156 174 180 204 216 240 264 280
293,   24 54 60 66 96 126 156 186 210 264 270 276
307,   24 30 66 114 126 150 156 180 234 240 264 270 294 300
311,   42 48 72 78 120 132 138 180 198 210 252 258 282 288 306 308
313,   36 84 120 150 174 186 210 234 294 300 306
317,   36 66 84 126 144 150 186 204 246 270 276 300 314
331,   18 48 90 102 108 132 168 192 270 288 300 312 328
337,   30 60 96 126 186 210 234 240 264 270 276 294 306 324
347,   36 54 84 96 114 120 156 174 210 216 240 246 294 300 306 330 336 344
349,   18 72 108 138 150 192 198 222 252 270 282 312 342
353,   6 36 90 96 114 126 156 204 216 240 246 264 294 300 306 324 330 348
359,   42 90 102 108 120 132 162 210 228 258 288 300 318 342
367,   30 54 90 96 156 174 204 210 240 264 294 306 324 360
373,   6 24 36 60 66 90 150 174 234 246 270 300 336 354 360 366 370
379,   30 42 108 168 198 222 228 240 252 282 312 348 360 372
383,   36 66 120 126 186 204 210 216 234 270 276 294 300 336 360 378
389,   30 42 72 78 120 132 198 210 252 258 288 330 372 384
397,   24 60 66 90 126 174 204 216 234 246 294 330 336 354 360 390
401,   18 42 48 90 108 120 162 168 252 300 318 342 360 372 396
409,   12 30 78 132 138 168 198 210 252 282 300 330 342 348 378 402
419,   30 60 72 102 138 150 168 180 222 228 240 282 378 390 402 408
421,   12 42 150 180 192 198 210 222 240 270 312 318 348 390 402 408 418
431,   12 30 48 72 78 138 162 168 252 330 342 378 390 408 426 428
433,   24 54 66 210 240 276 294 306 324 336 354 390 396 420 426 430
439,   18 60 102 108 132 162 168 288 300 312 330 372 420
443,   24 60 126 150 174 204 210 216 276 330 354 384 396 414 420 438 440
449,   18 30 60 138 168 192 198 210 252 270 312 348 360 378 390 408 432 438
457,   84 90 120 144 150 174 186 216 234 276 294 300 330 354 396 420 426 450 454
461,   18 30 42 60 102 108 180 192 198 222 282 312 348 360 378 402 420 450 458
463,   24 84 114 150 156 180 264 270 306 324 360 366 390 396 420 444 456
467,   24 36 120 150 174 186 210 216 234 276 294 330 354 360 396 414 420 444 462
479,   12 30 78 90 120 162 168 198 222 240 282 330 342 348 378 408 432 450 462 468 474
487,   54 90 114 120 156 174 204 246 264 324 336 390 420 450 480 484
491,   12 30 72 102 108 210 228 252 318 390 420 438 450 462 480 486
499,   42 78 102 120 132 162 192 228 258 270 288 360 420 438 468 492
503,   54 60 84 114 144 150 156 240 270 306 324 336 354 444 450 474 480
509,   48 60 78 90 108 150 192 252 312 318 330 372 378 402 420 438 462 468 504
521,   42 72 78 120 132 138 162 240 252 288 342 390 408 420 432 450 462 492 498 510 518
523,   24 84 90 150 186 210 216 246 300 330 360 384 396 414 444 486 510 516
541,   78 102 120 132 168 192 210 228 270 312 318 342 378 468 480 498 510 522 528
547,   24 60 84 114 126 180 210 240 264 276 306 336 390 420 444 450 474 486 504 516 540 544
557,   36 90 96 126 204 240 264 300 306 324 330 384 390 420 426 456 474 504 534 540 546 552
563,   6 54 84 96 114 120 180 210 246 294 300 324 366 384 390 414 450 456 534 540 546 560
569,   48 78 90 108 150 252 258 288 312 318 342 372 378 402 462 480 522 528 540
571,   30 48 72 138 162 198 240 258 288 348 420 462 468 492 498 552 558
577,   30 36 54 114 156 180 210 246 300 306 414 420 474 510 516 540 546 574
587,   30 66 96 156 186 234 240 270 276 294 324 354 360 390 396 474 504 516 564 576 584
593,   6 24 84 90 126 150 204 234 246 336 354 360 420 426 456 504 510 570 588
599,   42 78 120 198 210 240 282 288 330 342 348 372 420 432 450 462 492 498 510 552 582 588 594
601,   30 60 138 168 222 228 252 318 390 408 420 438 450 462 492 522 528 570
607,   6 36 66 84 120 144 150 270 276 300 330 384 414 426 444 456 480 510 546 564 594
613,   6 114 126 156 174 216 240 246 264 306 384 420 450 456 474 504 510 516 540 600 610
617,   24 30 60 126 156 264 270 324 336 354 360 366 444 480 486 534 546 564 570 576 600 606 612 614
619,   12 42 72 120 132 210 240 288 348 378 390 420 468 510 552 582 612
631,   12 30 60 108 192 198 222 252 360 390 402 408 420 432 438 492 522 570 600 618 628
641,   42 78 120 132 180 198 222 240 288 330 372 378 390 408 450 462 468 510 540 552 582 588 618 636 638
643,   30 66 96 144 180 186 210 234 264 276 294 366 420 444 450 480 486 570 606 636 640
647,   6 30 54 126 180 216 264 294 300 330 336 366 384 414 450 456 516 534 540 546 576 630 636 642 644
653,   6 66 90 144 174 186 204 210 234 294 300 360 396 456 540 564 570 606 624 630 636 648 650
659,   18 42 60 102 138 150 168 180 198 228 270 312 390 402 432 492 522 528 558 570 600 618 630 642 648
661,   30 48 90 162 198 222 330 348 378 390 432 462 468 510 552 588 618 630 642 658
673,   54 60 66 96 150 186 210 234 264 294 324 336 360 366 390 396 444 450 480 564 576 606 630 654
677,   24 84 120 186 210 234 276 294 384 414 420 426 486 504 510 540 546 606 624 630
683,   36 90 114 126 174 180 204 264 294 300 330 336 366 414 420 426 504 510 534 546 576 594 600 624 636 678
691,   18 48 60 78 120 168 192 228 318 342 360 378 462 480 510 540 588 612 630
701,   18 42 60 108 138 180 210 240 252 270 282 312 318 348 390 408 450 462 522 528 588 600 618 660 672 698
709,   18 48 78 102 168 210 288 300 312 330 342 360 378 528 570 582 612 672 690
719,   42 78 102 120 162 210 228 252 258 300 330 372 462 468 540 570 582 588 648 690 708 714
727,   84 96 126 150 156 180 240 264 270 294 306 360 390 396 444 486 504 564 570 576 600 654 696 720 724
733,   6 24 90 120 126 186 234 276 300 336 354 360 384 396 420 504 570 594 666 690 696 714 720 726
739,   12 30 48 120 138 168 198 252 282 300 330 390 432 462 498 510 540 558 582 588 642 660 708 720 732
743,   66 84 96 144 186 234 240 276 354 360 450 474 480 486 516 546 564 576 630 684 690 696 738 740
751,   18 60 78 108 132 288 312 318 342 372 378 402 420 480 528 540 552 570 648 672 678 708 720 732 738 748
757,   30 66 96 126 150 180 210 234 294 336 360 444 474 480 534 546 564 690 696 714 726 754
761,   60 78 102 120 168 192 252 258 270 300 330 342 402 468 498 522 528 612 648 672 678 690 720 732 738 750
769,   18 42 60 108 138 150 168 198 222 228 270 282 348 360 402 432 462 528 558 612 630 660 690 702 762
