# `factorzig` the prime factors of n, indented by distance from the nearest prime
# `primeness` notes if n is a prime, prime power, prime twin, radical, radical power, primorial, or primorial power

factorzig,          primeness
 ,                  
2,                  
3,                  prime twin
 2²,                prime power
5,                  prime twin
 2⋅3,               radical
7,                  prime twin
 2³,                prime power
  3²,               prime power
 2⋅5,               radical
11,                 prime twin
 2²⋅3,              
13,                 prime twin
 2⋅7,               radical
  3⋅5,              radical
 2⁴,                prime power
17,                 prime twin
 2⋅3²,              
19,                 prime twin
 2²⋅5,              
  3⋅7,              radical
 2⋅11,              radical
23,                 prime
 2³⋅3,              
  5²,               prime power
   2⋅13,            radical
  3³,               prime power
 2²⋅7,              
29,                 prime twin
 2⋅3⋅5,             radical
31,                 prime twin
 2⁵,                prime power
  3⋅11,             radical
   2⋅17,            radical
  5⋅7,              radical
 2²⋅3²,             radical power
37,                 prime
 2⋅19,              radical
  3⋅13,             radical
 2³⋅5,              
41,                 prime twin
 2⋅3⋅7,             radical
43,                 prime twin
 2²⋅11,             
  3²⋅5,             
 2⋅23,              radical
47,                 prime
 2⁴⋅3,              
  7²,               prime power
   2⋅5²,            
  3⋅17,             radical
 2²⋅13,             
53,                 prime
 2⋅3³,              
  5⋅11,             radical
   2³⋅7,            
  3⋅19,             radical
 2⋅29,              radical
59,                 prime twin
 2²⋅3⋅5,            
61,                 prime twin
 2⋅31,              radical
  3²⋅7,             
   2⁶,              prime power
  5⋅13,             radical
 2⋅3⋅11,            radical
67,                 prime
 2²⋅17,             
  3⋅23,             radical
 2⋅5⋅7,             radical
71,                 prime twin
 2³⋅3²,             
73,                 prime twin
 2⋅37,              radical
  3⋅5²,             
   2²⋅19,           
  7⋅11,             radical
 2⋅3⋅13,            radical
79,                 prime
 2⁴⋅5,              
  3⁴,               prime power
 2⋅41,              radical
83,                 prime
 2²⋅3⋅7,            
  5⋅17,             radical
   2⋅43,            radical
  3⋅29,             radical
 2³⋅11,             
89,                 prime
 2⋅3²⋅5,            
  7⋅13,             radical
   2²⋅23,           
    3⋅31,           radical
   2⋅47,            radical
  5⋅19,             radical
 2⁵⋅3,              
97,                 prime
 2⋅7²,              
  3²⋅11,            
 2²⋅5²,             radical power
101,                prime twin
 2⋅3⋅17,            radical
103,                prime twin
 2³⋅13,             
  3⋅5⋅7,            radical
 2⋅53,              radical
107,                prime twin
 2²⋅3³,             
109,                prime twin
 2⋅5⋅11,            radical
  3⋅37,             radical
 2⁴⋅7,              
113,                prime
 2⋅3⋅19,            radical
  5⋅23,             radical
   2²⋅29,           
    3²⋅13,          
     2⋅59,          radical
      7⋅17,         radical
       2³⋅3⋅5,      
      11²,          prime power
     2⋅61,          radical
    3⋅41,           radical
   2²⋅31,           
  5³,               prime power
 2⋅3²⋅7,            
