# `factorzig` the prime factors of n, indented by distance from the nearest prime
# `psym`      the symmetric primes at equal offsets around n

factorzig,          psym
 ,                  []
2,                  []
3,                  []
 2²,                [1]
5,                  [2]
 2⋅3,               [1]
7,                  [4]
 2³,                [3 5]
  3²,               [2 4]
 2⋅5,               [3 7]
11,                 [6 8]
 2²⋅3,              [1 5 7]
13,                 [6 10]
 2⋅7,               [3 9]
  3⋅5,              [2 4 8]
 2⁴,                [3 13]
17,                 [6 12 14]
 2⋅3²,              [1 5 11 13]
19,                 [12]
 2²⋅5,              [3 9 17]
  3⋅7,              [2 8 10 16]
 2⋅11,              [9 15 19]
23,                 [6 18 20]
 2³⋅3,              [5 7 13 17 19]
  5²,               [6 12 18 22]
   2⋅13,            [3 15 21]
  3³,               [4 10 14 16 20]
 2²⋅7,              [9 15 25]
29,                 [12 18 24]
 2⋅3⋅5,             [1 7 11 13 17 23]
31,                 [12 28]
 2⁵,                [9 15 21 27 29]
  3⋅11,             [4 10 14 20 26 28]
   2⋅17,            [3 27]
  5⋅7,              [6 12 18 24 32]
 2²⋅3²,             [5 7 17 23 25 31]
37,                 [6 24 30 34]
 2⋅19,              [9 15 21 33 35]
  3⋅13,             [2 8 20 22 28 32 34]
 2³⋅5,              [3 21 27 33]
41,                 [12 18 30 38]
 2⋅3⋅7,             [1 5 11 19 25 29 31 37]
43,                 [24 30 36 40]
 2²⋅11,             [3 15 27 39]
  3²⋅5,             [2 8 14 16 22 26 28 34]
 2⋅23,              [15 27 33 43]
47,                 [6 24 36 42]
 2⁴⋅3,              [5 11 19 25 31 35 41]
  7²,               [12 18 30]
   2⋅5²,            [3 9 21 33 39 47]
  3⋅17,             [8 10 20 22 28 32 38 46]
 2²⋅13,             [9 15 21 45 49]
53,                 [6 30 36 48 50]
 2⋅3³,              [7 13 17 25 35 43 47 49]
  5⋅11,             [12 18 24 42 48 52]
   2³⋅7,            [3 15 27 33 45 51 53]
  3⋅19,             [4 10 14 16 26 40 44 46]
 2⋅29,              [15 21 39 45 51 55]
59,                 [12 30 42 48 54]
 2²⋅3⋅5,            [1 7 13 19 23 29 37 41]
61,                 [18 42 48]
 2⋅31,              [9 21 39 45 51]
  3²⋅7,             [4 10 16 20 26 34 40 44]
   2⁶,              [3 33 45]
  5⋅13,             [6 18 24 36 42 48 62]
 2⋅3⋅11,            [5 7 13 23 35 37 43 47]
67,                 [6 30 36 60 64]
 2²⋅17,             [15 21 39 45 63]
  3⋅23,             [2 10 28 32 38 40 58 62]
 2⋅5⋅7,             [3 9 27 33 39 57 67]
71,                 [12 18 30 42 60 66 68]
 2³⋅3²,             [1 11 25 29 31 35 41 55]
73,                 [6 30 36 54 66]
 2⋅37,              [15 27 33 57 63]
