# Integer factorization table

n     - a positive integer
fact  - the prime factors of n, indented by distance from the nearest prime
τ     - the number of divisors of n, τ(n)
σ     - the sum of divisors of n, σ(n)
φ     - the Euler totient of n, φ(n)
λ     - the Carmichael function of n, λ(n)
Dψ    - the Dedekind ψ(n) function
μ     - the Möbius function of n, which is 1 if n is a product of an even number of distinct primes, -1 if odd, and 0 if any prime is repeated
ω     - the number of distinct prime factors of n, ω(n)
Ω     - the total number of prime factors of n, counting multiplicity, Ω(n)
λ     - the Liouville function of n, λ(n) = (-1)^Ω(n)
M     - the Mertens function M(n)
Λ     - the von Mangoldt function of n, Λ(n)
rad   - the radical of n, the product of its unique prime factors
m*    - the prime residues of n modulo a set of primes
psym  - the symmetric primes at equal offsets around n

```csv
    n, fact,                 τ,     σ,     φ,     λ,    Dψ,   μ,  ω,  Ω,   λ,    M,      Λ,   rad, m2, m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, psym
    1, 1,                    1,     1,     1,     1,     1,   1,  0,  0,   1,    1,  0.000,     1,  1,  1,  1,  1,   1,   1,   1,   1,   1,   1,   1,
    2, 2,                    2,     3,     1,     1,     3,  -1,  1,  1,  -1,    0,  0.693,     2,  0,  2,  2,  2,   2,   2,   2,   2,   2,   2,   2,
    3, 3,                    2,     4,     2,     2,     4,  -1,  1,  1,  -1,   -1,  1.099,     3,  1,  0,  3,  3,   3,   3,   3,   3,   3,   3,   3,
    4,  2²,                  3,     7,     2,     2,     6,   0,  1,  2,   1,   -1,  0.693,     2,  0,  1,  4,  4,   4,   4,   4,   4,   4,   4,   4, 1
    5, 5,                    2,     6,     4,     4,     6,  -1,  1,  1,  -1,   -2,  1.609,     5,  1,  2,  0,  5,   5,   5,   5,   5,   5,   5,   5, 2
    6,  2⋅3,                 4,    12,     2,     2,    12,   1,  2,  2,   1,   -1,  0.000,     6,  0,  0,  1,  6,   6,   6,   6,   6,   6,   6,   6, 1
    7, 7,                    2,     8,     6,     6,     8,  -1,  1,  1,  -1,   -2,  1.946,     7,  1,  1,  2,  0,   7,   7,   7,   7,   7,   7,   7, 4
    8,  2³,                  4,    15,     4,     2,    12,   0,  1,  3,  -1,   -2,  0.693,     2,  0,  2,  3,  1,   8,   8,   8,   8,   8,   8,   8, 3 5
    9,   3²,                 3,    13,     6,     6,    12,   0,  1,  2,   1,   -2,  1.099,     3,  1,  0,  4,  2,   9,   9,   9,   9,   9,   9,   9, 2 4
   10,  2⋅5,                 4,    18,     4,     4,    18,   1,  2,  2,   1,   -1,  0.000,    10,  0,  1,  0,  3,  10,  10,  10,  10,  10,  10,  10, 3 7
   11, 11,                   2,    12,    10,    10,    12,  -1,  1,  1,  -1,   -2,  2.398,    11,  1,  2,  1,  4,   0,  11,  11,  11,  11,  11,  11, 6 8
   12,  2²⋅3,                6,    28,     4,     2,    24,   0,  2,  3,  -1,   -2,  0.000,     6,  0,  0,  2,  5,   1,  12,  12,  12,  12,  12,  12, 1 5 7
   13, 13,                   2,    14,    12,    12,    14,  -1,  1,  1,  -1,   -3,  2.565,    13,  1,  1,  3,  6,   2,   0,  13,  13,  13,  13,  13, 6 10
   14,  2⋅7,                 4,    24,     6,     6,    24,   1,  2,  2,   1,   -2,  0.000,    14,  0,  2,  4,  0,   3,   1,  14,  14,  14,  14,  14, 3 9
   15,   3⋅5,                4,    24,     8,     4,    23,   1,  2,  2,   1,   -1,  0.000,    15,  1,  0,  0,  1,   4,   2,  15,  15,  15,  15,  15, 2 4 8
   16,  2⁴,                  5,    31,     8,     4,    24,   0,  1,  4,   1,   -1,  0.693,     2,  0,  1,  1,  2,   5,   3,  16,  16,  16,  16,  16, 3 13
   17, 17,                   2,    18,    16,    16,    18,  -1,  1,  1,  -1,   -2,  2.833,    17,  1,  2,  2,  3,   6,   4,   0,  17,  17,  17,  17, 6 12 14
   18,  2⋅3²,                6,    39,     6,     6,    36,   0,  2,  3,  -1,   -2,  0.000,     6,  0,  0,  3,  4,   7,   5,   1,  18,  18,  18,  18, 1 5 11 13
   19, 19,                   2,    20,    18,    18,    20,  -1,  1,  1,  -1,   -3,  2.944,    19,  1,  1,  4,  5,   8,   6,   2,   0,  19,  19,  19, 12
   20,  2²⋅5,                6,    42,     8,     4,    36,   0,  2,  3,  -1,   -3,  0.000,    10,  0,  2,  0,  6,   9,   7,   3,   1,  20,  20,  20, 3 9 17
   21,   3⋅7,                4,    32,    12,     6,    32,   1,  2,  2,   1,   -2,  0.000,    21,  1,  0,  1,  0,  10,   8,   4,   2,  21,  21,  21, 2 8 10 16
   22,  2⋅11,                4,    36,    10,    10,    36,   1,  2,  2,   1,   -1,  0.000,    22,  0,  1,  2,  1,   0,   9,   5,   3,  22,  22,  22, 9 15 19
   23, 23,                   2,    24,    22,    22,    24,  -1,  1,  1,  -1,   -2,  3.135,    23,  1,  2,  3,  2,   1,  10,   6,   4,   0,  23,  23, 6 18 20
   24,  2³⋅3,                8,    60,     8,     2,    48,   0,  2,  4,   1,   -2,  0.000,     6,  0,  0,  4,  3,   2,  11,   7,   5,   1,  24,  24, 5 7 13 17 19
   25,   5²,                 3,    31,    20,    20,    30,   0,  1,  2,   1,   -2,  1.609,     5,  1,  1,  0,  4,   3,  12,   8,   6,   2,  25,  25, 6 12 18 22
   26,    2⋅13,              4,    42,    12,    12,    42,   1,  2,  2,   1,   -1,  0.000,    26,  0,  2,  1,  5,   4,   0,   9,   7,   3,  26,  26, 3 15 21
   27,   3³,                 4,    40,    18,    18,    36,   0,  1,  3,  -1,   -1,  1.099,     3,  1,  0,  2,  6,   5,   1,  10,   8,   4,  27,  27, 4 10 14 16 20
   28,  2²⋅7,                6,    56,    12,     6,    48,   0,  2,  3,  -1,   -1,  0.000,    14,  0,  1,  3,  0,   6,   2,  11,   9,   5,  28,  28, 9 15 25
   29, 29,                   2,    30,    28,    28,    30,  -1,  1,  1,  -1,   -2,  3.367,    29,  1,  2,  4,  1,   7,   3,  12,  10,   6,   0,  29, 12 18 24
   30,  2⋅3⋅5,               8,    72,     8,     4,    72,  -1,  3,  3,  -1,   -3,  0.000,    30,  0,  0,  0,  2,   8,   4,  13,  11,   7,   1,  30, 1 7 11 13 17 23
   31, 31,                   2,    32,    30,    30,    32,  -1,  1,  1,  -1,   -4,  3.434,    31,  1,  1,  1,  3,   9,   5,  14,  12,   8,   2,   0, 12 28
   32,  2⁵,                  6,    63,    16,     8,    48,   0,  1,  5,  -1,   -4,  0.693,     2,  0,  2,  2,  4,  10,   6,  15,  13,   9,   3,   1, 9 15 21 27 29
   33,   3⋅11,               4,    48,    20,    10,    47,   1,  2,  2,   1,   -3,  0.000,    33,  1,  0,  3,  5,   0,   7,  16,  14,  10,   4,   2, 4 10 14 20 26 28
   34,    2⋅17,              4,    54,    16,    16,    54,   1,  2,  2,   1,   -2,  0.000,    34,  0,  1,  4,  6,   1,   8,   0,  15,  11,   5,   3, 3 27
   35,   5⋅7,                4,    48,    24,    12,    47,   1,  2,  2,   1,   -1,  0.000,    35,  1,  2,  0,  0,   2,   9,   1,  16,  12,   6,   4, 6 12 18 24 32
   36,  2²⋅3²,               9,    91,    12,     6,    72,   0,  2,  4,   1,   -1,  0.000,     6,  0,  0,  1,  1,   3,  10,   2,  17,  13,   7,   5, 5 7 17 23 25 31
   37, 37,                   2,    38,    36,    36,    38,  -1,  1,  1,  -1,   -2,  3.611,    37,  1,  1,  2,  2,   4,  11,   3,  18,  14,   8,   6, 6 24 30 34
   38,  2⋅19,                4,    60,    18,    18,    60,   1,  2,  2,   1,   -1,  0.000,    38,  0,  2,  3,  3,   5,  12,   4,   0,  15,   9,   7, 9 15 21 33 35
   39,   3⋅13,               4,    56,    24,    12,    55,   1,  2,  2,   1,    0,  0.000,    39,  1,  0,  4,  4,   6,   0,   5,   1,  16,  10,   8, 2 8 20 22 28 32 34
   40,  2³⋅5,                8,    90,    16,     4,    72,   0,  2,  4,   1,    0,  0.000,    10,  0,  1,  0,  5,   7,   1,   6,   2,  17,  11,   9, 3 21 27 33
   41, 41,                   2,    42,    40,    40,    42,  -1,  1,  1,  -1,   -1,  3.714,    41,  1,  2,  1,  6,   8,   2,   7,   3,  18,  12,  10, 12 18 30 38
   42,  2⋅3⋅7,               8,    96,    12,     6,    96,  -1,  3,  3,  -1,   -2,  0.000,    42,  0,  0,  2,  0,   9,   3,   8,   4,  19,  13,  11, 1 5 11 19 25 29 31 37
   43, 43,                   2,    44,    42,    42,    44,  -1,  1,  1,  -1,   -3,  3.761,    43,  1,  1,  3,  1,  10,   4,   9,   5,  20,  14,  12, 24 30 36 40
   44,  2²⋅11,               6,    84,    20,    10,    72,   0,  2,  3,  -1,   -3,  0.000,    22,  0,  2,  4,  2,   0,   5,  10,   6,  21,  15,  13, 3 15 27 39
   45,   3²⋅5,               6,    78,    24,    12,    72,   0,  2,  3,  -1,   -3,  0.000,    15,  1,  0,  0,  3,   1,   6,  11,   7,  22,  16,  14, 2 8 14 16 22 26 28 34 …
