# Integer factorization table

n     - a positive integer
fact  - the prime factors of n, indented by distance from the nearest prime
rad   - the radical of n, the product of its unique prime factors
τ     - the number of divisors of n, τ(n)
σ     - the sum of divisors of n, σ(n)
φ     - the Euler totient of n, φ(n)
λ     - the Carmichael function of n, λ(n)
Dψ    - the Dedekind ψ(n) function
μ     - the Möbius function of n, which is 1 if n is a product of an even number of distinct primes, -1 if odd, and 0 if any prime is repeated
ω     - the number of distinct prime factors of n, ω(n)
Ω     - the total number of prime factors of n, counting multiplicity, Ω(n)
λ     - the Liouville function of n, λ(n) = (-1)^Ω(n)
M     - the Mertens function M(n)
Λ     - the von Mangoldt function of n, Λ(n)
m*    - the residues of n modulo a set of primes

```csv
    n, fact,                       rad,   τ,     σ,     φ,     λ,    Dψ,   μ,  ω,   Ω,   λ,    M,      Λ, m2, m3, m5, m7, m11, m13, m17
    1, 1,                            1,   1,     1,     1,     1,     1,   1,  0,   0,   1,    1,  0.000,  1,  1,  1,  1,   1,   1,   1
    2, 2,                            2,   2,     3,     1,     1,     3,  -1,  1,   1,  -1,    0,  0.693,  0,  2,  2,  2,   2,   2,   2
    3, 3,                            3,   2,     4,     2,     2,     4,  -1,  1,   1,  -1,   -1,  1.099,  1,  0,  3,  3,   3,   3,   3
    4,  2²,                          2,   3,     7,     2,     2,     6,   0,  1,   2,   1,   -1,  0.693,  0,  1,  4,  4,   4,   4,   4
    5, 5,                            5,   2,     6,     4,     4,     6,  -1,  1,   1,  -1,   -2,  1.609,  1,  2,  0,  5,   5,   5,   5
    6,  2⋅3,                         6,   4,    12,     2,     2,    12,   1,  2,   2,   1,   -1,  0.000,  0,  0,  1,  6,   6,   6,   6
    7, 7,                            7,   2,     8,     6,     6,     8,  -1,  1,   1,  -1,   -2,  1.946,  1,  1,  2,  0,   7,   7,   7
    8,  2³,                          2,   4,    15,     4,     2,    12,   0,  1,   3,  -1,   -2,  0.693,  0,  2,  3,  1,   8,   8,   8
    9,   3²,                         3,   3,    13,     6,     6,    12,   0,  1,   2,   1,   -2,  1.099,  1,  0,  4,  2,   9,   9,   9
   10,  2⋅5,                        10,   4,    18,     4,     4,    18,   1,  2,   2,   1,   -1,  0.000,  0,  1,  0,  3,  10,  10,  10
   11, 11,                          11,   2,    12,    10,    10,    12,  -1,  1,   1,  -1,   -2,  2.398,  1,  2,  1,  4,   0,  11,  11
   12,  2²⋅3,                        6,   6,    28,     4,     2,    24,   0,  2,   3,  -1,   -2,  0.000,  0,  0,  2,  5,   1,  12,  12
   13, 13,                          13,   2,    14,    12,    12,    14,  -1,  1,   1,  -1,   -3,  2.565,  1,  1,  3,  6,   2,   0,  13
