# `n`       a positive integer
# `factors` the prime factors of n
# `gbpairs` the Goldbach prime pairs that sum to n, if n is even and greater than 4

n,    factors, gbpairs
1,    ,        
2,    2,       
3,    3,       
4,    2²,      
5,    5,       
6,    2⋅3,     3+3
7,    7,       
8,    2³,      3+5
9,    3²,      
10,   2⋅5,     3+7 5+5
11,   11,      
12,   2²⋅3,    5+7
13,   13,      
14,   2⋅7,     3+11 7+7
15,   3⋅5,     
16,   2⁴,      3+13 5+11
17,   17,      
18,   2⋅3²,    5+13 7+11
19,   19,      
20,   2²⋅5,    3+17 7+13
21,   3⋅7,     
22,   2⋅11,    3+19 5+17 11+11
23,   23,      
24,   2³⋅3,    5+19 7+17 11+13
25,   5²,      
26,   2⋅13,    3+23 7+19 13+13
27,   3³,      
28,   2²⋅7,    5+23 11+17
29,   29,      
30,   2⋅3⋅5,   7+23 11+19 13+17
31,   31,      
32,   2⁵,      3+29 13+19
33,   3⋅11,    
34,   2⋅17,    3+31 5+29 11+23 17+17
35,   5⋅7,     
36,   2²⋅3²,   5+31 7+29 13+23 17+19
37,   37,      
38,   2⋅19,    7+31 19+19
39,   3⋅13,    
40,   2³⋅5,    3+37 11+29 17+23
41,   41,      
42,   2⋅3⋅7,   5+37 11+31 13+29 19+23
43,   43,      
44,   2²⋅11,   3+41 7+37 13+31
45,   3²⋅5,    
46,   2⋅23,    3+43 5+41 17+29 23+23
47,   47,      
48,   2⁴⋅3,    5+43 7+41 11+37 17+31 19+29
49,   7²,      
50,   2⋅5²,    3+47 7+43 13+37 19+31
51,   3⋅17,    
52,   2²⋅13,   5+47 11+41 23+29
53,   53,      
54,   2⋅3³,    7+47 11+43 13+41 17+37 23+31
55,   5⋅11,    
56,   2³⋅7,    3+53 13+43 19+37
57,   3⋅19,    
58,   2⋅29,    5+53 11+47 17+41 29+29
59,   59,      
60,   2²⋅3⋅5,  7+53 13+47 17+43 19+41 23+37 29+31
61,   61,      
62,   2⋅31,    3+59 19+43 31+31
63,   3²⋅7,    
64,   2⁶,      3+61 5+59 11+53 17+47 23+41
65,   5⋅13,    
66,   2⋅3⋅11,  5+61 7+59 13+53 19+47 23+43 29+37
67,   67,      
68,   2²⋅17,   7+61 31+37
69,   3⋅23,    
70,   2⋅5⋅7,   3+67 11+59 17+53 23+47 29+41
71,   71,      
72,   2³⋅3²,   5+67 11+61 13+59 19+53 29+43 31+41
73,   73,      
74,   2⋅37,    3+71 7+67 13+61 31+43 37+37
75,   3⋅5²,    
76,   2²⋅19,   3+73 5+71 17+59 23+53 29+47
77,   7⋅11,    
78,   2⋅3⋅13,  5+73 7+71 11+67 17+61 19+59 31+47 37+41
79,   79,      
80,   2⁴⋅5,    7+73 13+67 19+61 37+43
81,   3⁴,      
82,   2⋅41,    3+79 11+71 23+59 29+53 41+41
83,   83,      
84,   2²⋅3⋅7,  5+79 11+73 13+71 17+67 23+61 31+53 37+47 41+43
85,   5⋅17,    
86,   2⋅43,    3+83 7+79 13+73 19+67 43+43
87,   3⋅29,    
88,   2³⋅11,   5+83 17+71 29+59 41+47
89,   89,      
90,   2⋅3²⋅5,  7+83 11+79 17+73 19+71 23+67 29+61 31+59 37+53 43+47
91,   7⋅13,    
92,   2²⋅23,   3+89 13+79 19+73 31+61
93,   3⋅31,    
94,   2⋅47,    5+89 11+83 23+71 41+53 47+47
95,   5⋅19,    
96,   2⁵⋅3,    7+89 13+83 17+79 23+73 29+67 37+59 43+53
97,   97,      
98,   2⋅7²,    19+79 31+67 37+61
99,   3²⋅11,   
100,  2²⋅5²,   3+97 11+89 17+83 29+71 41+59 47+53
