# `n`       a positive integer
# `factors` the prime factors of n
# `psymext` the symmetric primes p=n-d and q=n+d in the immediate vicinity of n, given as p:q(d)
# `gbpairs` the Goldbach prime pairs that sum to n, if n is even and greater than 4

n,     factors,    psymext,                                                                                                gbpairs
6,     2⋅3,        5:7(1),                                                                                                 3+3
7,     7,          3:11(4),                                                                                                
8,     2³,         5:11(3) 3:13(5),                                                                                        5+3
9,     3²,         7:11(2) 5:13(4),                                                                                        
10,    2⋅5,        7:13(3) 3:17(7),                                                                                        7+3 5+5
11,    11,         5:17(6) 3:19(8),                                                                                        
12,    2²⋅3,       11:13(1) 7:17(5) 5:19(7),                                                                               7+5
13,    13,         7:19(6) 3:23(10),                                                                                       
14,    2⋅7,        11:17(3) 5:23(9),                                                                                       11+3 7+7
15,    3⋅5,        13:17(2) 11:19(4) 7:23(8),                                                                              
16,    2⁴,         13:19(3) 3:29(13),                                                                                      13+3 11+5
17,    17,         11:23(6) 5:29(12) 3:31(14),                                                                             
18,    2⋅3²,       17:19(1) 13:23(5) 7:29(11) 5:31(13),                                                                    13+5 11+7
19,    19,         7:31(12),                                                                                               
20,    2²⋅5,       17:23(3) 11:29(9) 3:37(17),                                                                             17+3 13+7
21,    3⋅7,        19:23(2) 13:29(8) 11:31(10) 5:37(16),                                                                   
22,    2⋅11,       13:31(9) 7:37(15) 3:41(19),                                                                             19+3 17+5 11+11
23,    23,         17:29(6) 5:41(18) 3:43(20),                                                                             
24,    2³⋅3,       19:29(5) 17:31(7) 11:37(13) 7:41(17) 5:43(19),                                                          19+5 17+7 13+11
25,    5²,         19:31(6) 13:37(12) 7:43(18) 3:47(22),                                                                   
26,    2⋅13,       23:29(3) 11:41(15) 5:47(21),                                                                            23+3 19+7 13+13
27,    3³,         23:31(4) 17:37(10) 13:41(14) 11:43(16) 7:47(20),                                                        
28,    2²⋅7,       19:37(9) 13:43(15) 3:53(25),                                                                            23+5 17+11
29,    29,         17:41(12) 11:47(18) 5:53(24),                                                                           
30,    2⋅3⋅5,      29:31(1) 23:37(7) 19:41(11) 17:43(13) 13:47(17) 7:53(23),                                               23+7 19+11 17+13
31,    31,         19:43(12) 3:59(28),                                                                                     
32,    2⁵,         23:41(9) 17:47(15) 11:53(21) 5:59(27) 3:61(29),                                                         29+3 19+13
33,    3⋅11,       29:37(4) 23:43(10) 19:47(14) 13:53(20) 7:59(26) 5:61(28),                                               
34,    2⋅17,       31:37(3) 7:61(27),                                                                                      31+3 29+5 23+11 17+17
35,    5⋅7,        29:41(6) 23:47(12) 17:53(18) 11:59(24) 3:67(32),                                                        
36,    2²⋅3²,      31:41(5) 29:43(7) 19:53(17) 13:59(23) 11:61(25) 5:67(31),                                               31+5 29+7 23+13 19+17
37,    37,         31:43(6) 13:61(24) 7:67(30) 3:71(34),                                                                   
38,    2⋅19,       29:47(9) 23:53(15) 17:59(21) 5:71(33) 3:73(35),                                                         31+7 19+19
39,    3⋅13,       37:41(2) 31:47(8) 19:59(20) 17:61(22) 11:67(28) 7:71(32) 5:73(34),                                      
40,    2³⋅5,       37:43(3) 19:61(21) 13:67(27) 7:73(33),                                                                  37+3 29+11 23+17
41,    41,         29:53(12) 23:59(18) 11:71(30) 3:79(38),                                                                 
42,    2⋅3⋅7,      41:43(1) 37:47(5) 31:53(11) 23:61(19) 17:67(25) 13:71(29) 11:73(31) 5:79(37),                           37+5 31+11 29+13 23+19
43,    43,         19:67(24) 13:73(30) 7:79(36) 3:83(40),                                                                  
44,    2²⋅11,      41:47(3) 29:59(15) 17:71(27) 5:83(39),                                                                  41+3 37+7 31+13
45,    3²⋅5,       43:47(2) 37:53(8) 31:59(14) 29:61(16) 23:67(22) 19:71(26) 17:73(28) 11:79(34),                          
46,    2⋅23,       31:61(15) 19:73(27) 13:79(33) 3:89(43),                                                                 43+3 41+5 29+17 23+23
47,    47,         41:53(6) 23:71(24) 11:83(36) 5:89(42),                                                                  
48,    2⁴⋅3,       43:53(5) 37:59(11) 29:67(19) 23:73(25) 17:79(31) 13:83(35) 7:89(41),                                    43+5 41+7 37+11 31+17 29+19
49,    7²,         37:61(12) 31:67(18) 19:79(30),                                                                          
50,    2⋅5²,       47:53(3) 41:59(9) 29:71(21) 17:83(33) 11:89(39) 3:97(47),                                               47+3 43+7 37+13 31+19
51,    3⋅17,       43:59(8) 41:61(10) 31:71(20) 29:73(22) 23:79(28) 19:83(32) 13:89(38) 5:97(46),                          
52,    2²⋅13,      43:61(9) 37:67(15) 31:73(21) 7:97(45) 3:101(49),                                                        47+5 41+11 29+23
53,    53,         47:59(6) 23:83(30) 17:89(36) 5:101(48) 3:103(50),                                                       
54,    2⋅3³,       47:61(7) 41:67(13) 37:71(17) 29:79(25) 19:89(35) 11:97(43) 7:101(47) 5:103(49),                         47+7 43+11 41+13 37+17 31+23
