# Unique radical value growth

Here `rads` gives the number of unique radicals (product of all prime factors) up to and including `n`.

n,       rads
1,       1
2,       2
3,       3
4,       3
5,       4
6,       5
7,       6
8,       6
9,       6
10,      7
11,      8
12,      8
13,      9
14,      10
15,      11
16,      11
17,      12
18,      12
19,      13
20,      13
21,      14
22,      15
23,      16
24,      16
25,      16
26,      17
27,      17
28,      17
29,      18
30,      19
31,      20
32,      20
33,      21
34,      22
35,      23
36,      23
37,      24
38,      25
39,      26
40,      26
41,      27
42,      28
43,      29
44,      29
45,      29
46,      30
47,      31
48,      31
49,      31
50,      31
51,      32
52,      32
53,      33
54,      33
55,      34
56,      34
57,      35
58,      36
59,      37
60,      37
61,      38
62,      39
63,      39
64,      39
65,      40
66,      41
67,      42
68,      42
69,      43
70,      44
71,      45
72,      45
73,      46
74,      47
75,      47
76,      47
77,      48
78,      49
79,      50
80,      50
81,      50
82,      51
83,      52
84,      52
85,      53
86,      54
87,      55
88,      55
89,      56
90,      56
91,      57
92,      57
93,      58
94,      59
95,      60
96,      60
97,      61
98,      61
99,      61
100,     61
200,     122
300,     183
400,     243
500,     306
600,     366
700,     428
800,     489
900,     547
1000,    608
2000,    1215
3000,    1824
4000,    2433
5000,    3042
6000,    3646
7000,    4255
8000,    4865
9000,    5473
10000,   6083
20000,   12160
30000,   18242
40000,   24310
50000,   30401
60000,   36473
70000,   42556
80000,   48627
90000,   54713
100000,  60794
200000,  121581
300000,  182378
400000,  243165
500000,  303958
600000,  364754
700000,  425558
800000,  486342
900000,  547131
1000000, 607926

So first things first, we have what appears to be linear growth of ~0.608n

n,       rads
100,     61
1000,    608
10000,   6083
100000,  60794
1000000, 607926

This density is known to be 6/pi^2, so... looks like we're done here.




