# Stopping distance group fractal

Every row here will terminate in 6 steps. This is every number under 10000 with that stopping distance.
Note they largely diverge then largely converge again.
Also note the shameless self-similar hierarchy that appears in the binary digits when sorted.

`nl` is the 2-adic odd core/valuation of n's even neighbor to the left
`nr` is the 2-adic odd core/valuation of n's even neighbor to the right

   n,         nl,        nr,  dist,           binary,  hey_look_a_fractal,   factors,       orbit
   9,      (1 3),     (5 1),     6,             1001,                █░░█,   {3},           9 ->7 ->11 ->17 ->13 ->5 ->1                   
  19,      (9 1),     (5 2),     6,            10011,               █░░██,   {19},          19 ->29 ->11 ->17 ->13 ->5 ->1                   
  37,      (9 2),    (19 1),     6,           100101,              █░░█░█,   {37},          37 ->7 ->11 ->17 ->13 ->5 ->1                   
  77,     (19 2),    (39 1),     6,          1001101,             █░░██░█,   {7 11},        77 ->29 ->11 ->17 ->13 ->5 ->1                   
  81,      (5 4),    (41 1),     6,          1010001,             █░█░░░█,   {3},           81 ->61 ->23 ->35 ->53 ->5 ->1                   
 149,     (37 2),    (75 1),     6,         10010101,            █░░█░█░█,   {149},         149 ->7 ->11 ->17 ->13 ->5 ->1                   
 163,     (81 1),    (41 2),     6,         10100011,            █░█░░░██,   {163},         163 ->245 ->23 ->35 ->53 ->5 ->1                   
 309,     (77 2),   (155 1),     6,        100110101,           █░░██░█░█,   {3 103},       309 ->29 ->11 ->17 ->13 ->5 ->1                   
 321,      (5 6),   (161 1),     6,        101000001,           █░█░░░░░█,   {3 107},       321 ->241 ->181 ->17 ->13 ->5 ->1                   
 325,     (81 2),   (163 1),     6,        101000101,           █░█░░░█░█,   {5 13},        325 ->61 ->23 ->35 ->53 ->5 ->1                   
 331,    (165 1),    (83 2),     6,        101001011,           █░█░░█░██,   {331},         331 ->497 ->373 ->35 ->53 ->5 ->1                   
 597,    (149 2),   (299 1),     6,       1001010101,          █░░█░█░█░█,   {3 199},       597 ->7 ->11 ->17 ->13 ->5 ->1                   
 625,     (39 4),   (313 1),     6,       1001110001,          █░░███░░░█,   {5},           625 ->469 ->11 ->17 ->13 ->5 ->1                   
 643,    (321 1),   (161 2),     6,       1010000011,          █░█░░░░░██,   {643},         643 ->965 ->181 ->17 ->13 ->5 ->1                   
 653,    (163 2),   (327 1),     6,       1010001101,          █░█░░░██░█,   {653},         653 ->245 ->23 ->35 ->53 ->5 ->1                   
 663,    (331 1),    (83 3),     6,       1010010111,          █░█░░█░███,   {3 13 17},     663 ->995 ->1493 ->35 ->53 ->5 ->1                   
 713,     (89 3),   (357 1),     6,       1011001001,          █░██░░█░░█,   {23 31},       713 ->535 ->803 ->1205 ->113 ->85 ->1                   
 715,    (357 1),   (179 2),     6,       1011001011,          █░██░░█░██,   {5 11 13},     715 ->1073 ->805 ->151 ->227 ->341 ->1                   
1237,    (309 2),   (619 1),     6,      10011010101,         █░░██░█░█░█,   {1237},        1237 ->29 ->11 ->17 ->13 ->5 ->1                   
1251,    (625 1),   (313 2),     6,      10011100011,         █░░███░░░██,   {3 139},       1251 ->1877 ->11 ->17 ->13 ->5 ->1                   
1285,    (321 2),   (643 1),     6,      10100000101,         █░█░░░░░█░█,   {5 257},       1285 ->241 ->181 ->17 ->13 ->5 ->1                   
1301,    (325 2),   (651 1),     6,      10100010101,         █░█░░░█░█░█,   {1301},        1301 ->61 ->23 ->35 ->53 ->5 ->1                   
1313,     (41 5),   (657 1),     6,      10100100001,         █░█░░█░░░░█,   {13 101},      1313 ->985 ->739 ->1109 ->13 ->5 ->1                   
1325,    (331 2),   (663 1),     6,      10100101101,         █░█░░█░██░█,   {5 53},        1325 ->497 ->373 ->35 ->53 ->5 ->1                   
1339,    (669 1),   (335 2),     6,      10100111011,         █░█░░███░██,   {13 103},      1339 ->2009 ->1507 ->2261 ->53 ->5 ->1                   
1425,     (89 4),   (713 1),     6,      10110010001,         █░██░░█░░░█,   {3 5 19},      1425 ->1069 ->401 ->301 ->113 ->85 ->1                   
1427,    (713 1),   (357 2),     6,      10110010011,         █░██░░█░░██,   {1427},        1427 ->2141 ->803 ->1205 ->113 ->85 ->1                   
1431,    (715 1),   (179 3),     6,      10110010111,         █░██░░█░███,   {3 53},        1431 ->2147 ->3221 ->151 ->227 ->341 ->1                   
1433,    (179 3),   (717 1),     6,      10110011001,         █░██░░██░░█,   {1433},        1433 ->1075 ->1613 ->605 ->227 ->341 ->1                   
2389,    (597 2),  (1195 1),     6,     100101010101,        █░░█░█░█░█░█,   {2389},        2389 ->7 ->11 ->17 ->13 ->5 ->1                   
2501,    (625 2),  (1251 1),     6,     100111000101,        █░░███░░░█░█,   {41 61},       2501 ->469 ->11 ->17 ->13 ->5 ->1                   
2573,    (643 2),  (1287 1),     6,     101000001101,        █░█░░░░░██░█,   {31 83},       2573 ->965 ->181 ->17 ->13 ->5 ->1                   
2577,    (161 4),  (1289 1),     6,     101000010001,        █░█░░░░█░░░█,   {3 859},       2577 ->1933 ->725 ->17 ->13 ->5 ->1                   
2613,    (653 2),  (1307 1),     6,     101000110101,        █░█░░░██░█░█,   {3 13 67},     2613 ->245 ->23 ->35 ->53 ->5 ->1                   
2625,     (41 6),  (1313 1),     6,     101001000001,        █░█░░█░░░░░█,   {3 5 7},       2625 ->1969 ->1477 ->277 ->13 ->5 ->1                   
2627,   (1313 1),   (657 2),     6,     101001000011,        █░█░░█░░░░██,   {37 71},       2627 ->3941 ->739 ->1109 ->13 ->5 ->1                   
