# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance, for 10000 integers

desc,k,oc,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31

# dist 96:
oc(6171-1),1,3085,1,0,5,5,4,8,7,3,11,16
oc(6171+1),2,1543,1,3,3,3,9,13,4,2,6,24

# dist 95:
oc(9257-1),3,1157,2,2,2,2,0,1,17,7,26,10
oc(9257+1),1,4629,0,4,2,9,1,5,12,6,18,10

# dist 94:
oc(6943-1),1,3471,0,1,6,6,0,3,13,21,20,30
oc(6943+1),5,217,1,2,0,8,9,13,8,10,14,0

# dist 92:
oc(7963-1),1,3981,0,1,5,10,3,3,10,2,8,13
oc(7963+1),2,1991,2,1,3,0,2,2,15,13,19,7

# dist 90:
oc(8959-1),1,4479,0,4,6,2,7,8,14,17,13,15
oc(8959+1),8,35,2,0,0,2,9,1,16,12,6,4

# dist 89:
oc(6591-1),1,3295,1,0,5,6,6,14,8,6,18,9
oc(6591+1),6,103,1,3,5,4,12,1,8,11,16,10

# dist 88:
oc(9887-1),1,4943,2,3,1,4,3,13,3,21,13,14
oc(9887+1),5,309,0,4,1,1,10,3,5,10,19,30
oc(9897-1),3,1237,1,2,5,5,2,13,2,18,19,28
oc(9897+1),1,4949,2,4,0,10,9,2,9,4,19,20

# dist 87:
oc(3711-1),1,1855,1,0,0,7,9,2,12,15,28,26
oc(3711+1),7,29,2,4,1,7,3,12,10,6,0,29
oc(7423-1),1,3711,0,1,1,4,6,5,6,8,28,22
oc(7423+1),8,29,2,4,1,7,3,12,10,6,0,29

# dist 86:
oc(5567-1),1,2783,2,3,4,0,1,12,9,0,28,24
oc(5567+1),6,87,0,2,3,10,9,2,11,18,0,25

# dist 85:
oc(8351-1),1,4175,2,0,3,6,2,10,14,12,28,21
oc(8351+1),5,261,0,1,2,8,1,6,14,8,0,13

# dist 83:
oc(9225-1),3,1153,1,3,5,9,9,14,13,3,22,6
oc(9225+1),1,4613,2,3,0,4,11,6,15,13,2,25

# dist 82:
oc(6919-1),1,3459,0,4,1,5,1,8,1,9,8,18
oc(6919+1),3,865,1,0,4,7,7,15,10,14,24,28

# dist 80:
oc(7785-1),3,973,1,3,0,5,11,4,4,7,16,12
oc(7785+1),1,3893,2,3,1,10,6,0,17,6,7,18

# dist 79:
oc(2919-1),1,1459,1,4,3,7,3,14,15,10,9,2
oc(2919+1),3,365,2,0,1,2,1,8,4,20,17,24
oc(5839-1),1,2919,0,4,0,4,7,12,12,21,19,5
oc(5839+1),4,365,2,0,1,2,1,8,4,20,17,24

# dist 78:
oc(4379-1),1,2189,2,4,5,0,5,13,4,4,14,19
oc(4379+1),2,1095,0,0,3,6,3,7,12,14,22,10
oc(8759-1),1,4379,2,4,4,1,11,10,9,9,0,8
oc(8759+1),3,1095,0,0,3,6,3,7,12,14,22,10

# dist 77:
oc(6569-1),3,821,2,1,2,7,2,5,4,16,9,15
oc(6569+1),1,3285,0,0,2,7,9,4,17,19,8,30

# dist 76:
oc(2463-1),1,1231,1,1,6,10,9,7,15,12,13,22
oc(2463+1),5,77,2,2,0,0,12,9,1,8,19,15
oc(4927-1),1,2463,0,3,6,10,6,15,12,2,27,14
oc(4927+1),6,77,2,2,0,0,12,9,1,8,19,15
oc(9853-1),2,2463,0,3,6,10,6,15,12,2,27,14
oc(9853+1),1,4927,1,2,6,10,0,14,6,5,26,29

# dist 75:
oc(3695-1),1,1847,2,2,6,10,1,11,4,7,20,18
oc(3695+1),4,231,0,1,0,0,10,10,3,1,28,14
oc(7391-1),1,3695,2,0,6,10,3,6,9,15,12,6
oc(7391+1),5,231,0,1,0,0,10,10,3,1,28,14
oc(7515-1),1,3757,1,2,5,6,0,0,14,8,16,6
oc(7515+1),2,1879,1,4,3,9,7,9,17,16,23,19

# dist 74:
oc(5543-1),1,2771,2,1,6,10,2,0,16,11,16,12
oc(5543+1),3,693,0,3,0,0,4,13,9,3,26,11
oc(5673-1),3,709,1,4,2,5,7,12,6,19,13,27
oc(5673+1),1,2837,2,2,2,10,3,15,6,8,24,16
oc(5799-1),1,2899,1,4,1,6,0,9,11,1,28,16
oc(5799+1),3,725,2,0,4,10,10,11,3,12,0,12

# dist 73:
oc(4233-1),3,529,1,4,4,1,9,2,16,0,7,2
oc(4233+1),1,2117,2,2,3,5,11,9,8,1,0,9
oc(4255-1),1,2127,0,2,6,4,8,2,18,11,10,19
oc(4255+1),5,133,1,3,0,1,3,14,0,18,17,9
oc(8315-1),1,4157,2,2,6,10,10,9,15,17,10,3
oc(8315+1),2,2079,0,4,0,0,12,5,8,9,20,2
oc(8425-1),3,1053,0,3,3,8,0,16,8,18,9,30
oc(8425+1),1,4213,1,3,6,0,1,14,14,4,8,28
oc(8455-1),1,4227,0,2,6,3,2,11,9,18,22,11
oc(8455+1),3,1057,1,2,0,1,4,3,12,22,13,3
oc(8467-1),1,4233,0,3,5,9,8,0,15,1,28,17
oc(8467+1),2,2117,2,2,3,5,11,9,8,1,0,9
oc(8511-1),1,4255,1,0,6,9,4,5,18,0,21,8
oc(8511+1),6,133,1,3,0,1,3,14,0,18,17,9
oc(8697-1),3,1087,1,2,2,9,8,16,4,6,14,2
oc(8697+1),1,4349,2,4,2,4,7,14,17,2,28,9
oc(8699-1),1,4349,2,4,2,4,7,14,17,2,28,9
oc(8699+1),2,2175,0,0,5,8,4,16,9,13,0,5

# dist 72:
oc(3175-1),1,1587,0,2,5,3,1,6,10,0,21,6
oc(3175+1),3,397,1,2,5,1,7,6,17,6,20,25
oc(6319-1),1,3159,0,4,2,2,0,14,5,8,27,28
oc(6319+1),4,395,2,0,3,10,5,4,15,4,18,23
oc(6351-1),1,3175,1,0,4,7,3,13,2,1,14,13
oc(6351+1),4,397,1,2,5,1,7,6,17,6,20,25
oc(6375-1),1,3187,1,2,2,8,2,8,14,13,26,25
oc(6375+1),3,797,2,2,6,5,4,15,18,15,14,22
oc(6383-1),1,3191,2,1,6,1,6,12,18,17,1,29
oc(6383+1),4,399,0,4,0,3,9,8,0,8,22,27
oc(6523-1),1,3261,0,1,6,5,11,14,12,18,13,6
oc(6523+1),2,1631,2,1,0,3,6,16,16,21,7,19

# dist 71:
oc(4763-1),1,2381,2,1,1,5,2,1,6,12,3,25
oc(4763+1),2,1191,0,1,1,3,8,1,13,18,2,13
oc(4935-1),1,2467,1,2,3,3,10,2,16,6,2,18
oc(4935+1),3,617,2,2,1,1,6,5,9,19,8,28
oc(9159-1),1,4579,1,4,1,3,3,6,0,2,26,22
oc(9159+1),3,1145,2,0,4,1,1,6,5,18,14,29
oc(9355-1),1,4677,0,2,1,2,10,2,3,8,8,27
oc(9355+1),2,2339,2,4,1,7,12,10,2,16,19,14
oc(9479-1),1,4739,2,4,0,9,7,13,8,1,12,27
oc(9479+1),3,1185,0,0,2,8,2,12,7,12,25,7
oc(9513-1),3,1189,1,4,6,1,6,16,11,16,0,11
oc(9513+1),1,4757,2,2,4,5,12,14,7,19,1,14
oc(9527-1),1,4763,2,3,3,0,5,3,13,2,7,20
oc(9527+1),3,1191,0,1,1,3,8,1,13,18,2,13
oc(9563-1),1,4781,2,1,0,7,10,4,12,20,25,7
oc(9563+1),2,2391,0,1,4,4,12,11,16,22,13,4
oc(9575-1),1,4787,2,2,6,2,3,10,18,3,2,13
oc(9575+1),3,1197,0,2,0,9,1,7,0,1,8,19
oc(9785-1),3,1223,2,3,5,2,1,16,7,4,5,14
oc(9785+1),1,4893,0,3,0,9,5,14,10,17,21,26
oc(9787-1),1,4893,0,3,0,9,5,14,10,17,21,26
oc(9787+1),2,2447,2,2,4,5,3,16,15,9,11,29
oc(9871-1),1,4935,0,0,0,7,8,5,14,13,5,6
oc(9871+1),4,617,2,2,1,1,6,5,9,19,8,28

# dist 70:
oc(3567-1),1,1783,1,3,5,1,2,15,16,12,14,16
oc(3567+1),4,223,1,3,6,3,2,2,14,16,20,6
oc(7017-1),3,877,1,2,2,8,6,10,3,3,7,9
oc(7017+1),1,3509,2,4,2,0,12,7,13,13,0,6
oc(7023-1),1,3511,1,1,4,2,1,9,15,15,2,8
oc(7023+1),4,439,1,4,5,10,10,14,2,2,4,5
oc(7131-1),1,3565,1,0,2,1,3,12,12,0,27,0
oc(7131+1),2,1783,1,3,5,1,2,15,16,12,14,16
oc(7135-1),1,3567,0,2,4,3,5,14,14,2,0,2
oc(7135+1),5,223,1,3,6,3,2,2,14,16,20,6
oc(7143-1),1,3571,1,1,1,7,9,1,18,6,4,6
oc(7143+1),3,893,2,3,4,2,9,9,0,19,23,25
oc(7145-1),3,893,2,3,4,2,9,9,0,19,23,25
oc(7145+1),1,3573,0,3,3,9,11,3,1,8,6,8
oc(7167-1),1,3583,1,3,6,8,8,13,11,18,16,18
oc(7167+1),10,7,1,2,0,7,7,7,7,7,7,7
oc(7305-1),3,913,1,3,3,0,3,12,1,16,14,14
oc(7305+1),1,3653,2,3,6,1,0,15,5,19,28,26
oc(7339-1),1,3669,0,4,1,6,3,14,2,12,15,11
oc(7339+1),2,1835,2,0,1,9,2,16,11,18,8,6
oc(7403-1),1,3701,2,1,5,5,9,12,15,21,18,12
