# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance
#
# `dist`    the number of odd-to-odd Collatz for n steps to reach 1
# `n`       a positive odd integer
# `nl`      the odd core valuation of the even number n-1 to the left of odd n
# `nr`      the odd core valuation of the even number n+1 to the right of odd n
# `base2`   the binary representation of n
# `factors` the prime factors of n

dist,     n,        nl,        nr,           base2, factors
   0,     1,     (0 0),     (1 1),               1, {}
   1,     5,     (1 2),     (3 1),             101, {5}
   1,    21,     (5 2),    (11 1),           10101, {3 7}
   1,    85,    (21 2),    (43 1),         1010101, {5 17}
   1,   341,    (85 2),   (171 1),       101010101, {11 31}
   1,  1365,   (341 2),   (683 1),     10101010101, {3 5 7 13}
   1,  5461,  (1365 2),  (2731 1),   1010101010101, {43 127}
   2,     3,     (1 1),     (1 2),              11, {3}
   2,    13,     (3 2),     (7 1),            1101, {13}
   2,    53,    (13 2),    (27 1),          110101, {53}
   2,   113,     (7 4),    (57 1),         1110001, {113}
   2,   213,    (53 2),   (107 1),        11010101, {3 71}
   2,   227,   (113 1),    (57 2),        11100011, {227}
   2,   453,   (113 2),   (227 1),       111000101, {3 151}
   2,   853,   (213 2),   (427 1),      1101010101, {853}
   2,   909,   (227 2),   (455 1),      1110001101, {3 101}
   2,  1813,   (453 2),   (907 1),     11100010101, {7 37}
   2,  3413,   (853 2),  (1707 1),    110101010101, {3413}
   2,  3637,   (909 2),  (1819 1),    111000110101, {3637}
   2,  7253,  (1813 2),  (3627 1),   1110001010101, {7253}
   2,  7281,   (455 4),  (3641 1),   1110001110001, {3 809}
   3,    17,     (1 4),     (9 1),           10001, {17}
   3,    35,    (17 1),     (9 2),          100011, {5 7}
   3,    69,    (17 2),    (35 1),         1000101, {3 23}
   3,    75,    (37 1),    (19 2),         1001011, {3 5}
   3,   141,    (35 2),    (71 1),        10001101, {3 47}
   3,   151,    (75 1),    (19 3),        10010111, {151}
   3,   277,    (69 2),   (139 1),       100010101, {277}
   3,   301,    (75 2),   (151 1),       100101101, {7 43}
   3,   565,   (141 2),   (283 1),      1000110101, {5 113}
   3,   605,   (151 2),   (303 1),      1001011101, {5 11}
   3,  1109,   (277 2),   (555 1),     10001010101, {1109}
   3,  1137,    (71 4),   (569 1),     10001110001, {3 379}
   3,  1205,   (301 2),   (603 1),     10010110101, {5 241}
   3,  2261,   (565 2),  (1131 1),    100011010101, {7 17 19}
   3,  2275,  (1137 1),   (569 2),    100011100011, {5 7 13}
   3,  2417,   (151 4),  (1209 1),    100101110001, {2417}
   3,  2421,   (605 2),  (1211 1),    100101110101, {3 269}
   3,  4437,  (1109 2),  (2219 1),   1000101010101, {3 17 29}
   3,  4549,  (1137 2),  (2275 1),   1000111000101, {4549}
   3,  4821,  (1205 2),  (2411 1),   1001011010101, {3 1607}
   3,  4835,  (2417 1),  (1209 2),   1001011100011, {5 967}
   3,  4849,   (303 4),  (2425 1),   1001011110001, {13 373}
   3,  9045,  (2261 2),  (4523 1),  10001101010101, {3 5 67}
   3,  9101,  (2275 2),  (4551 1),  10001110001101, {19 479}
   3,  9669,  (2417 2),  (4835 1),  10010111000101, {3 11 293}
   3,  9685,  (2421 2),  (4843 1),  10010111010101, {5 13 149}
   3,  9699,  (4849 1),  (2425 2),  10010111100011, {3 53 61}
   4,    11,     (5 1),     (3 2),            1011, {11}
   4,    23,    (11 1),     (3 3),           10111, {23}
   4,    45,    (11 2),    (23 1),          101101, {3 5}
   4,    93,    (23 2),    (47 1),         1011101, {3 31}
   4,   181,    (45 2),    (91 1),        10110101, {181}
   4,   201,    (25 3),   (101 1),        11001001, {3 67}
   4,   369,    (23 4),   (185 1),       101110001, {3 41}
   4,   373,    (93 2),   (187 1),       101110101, {373}
   4,   401,    (25 4),   (201 1),       110010001, {401}
   4,   403,   (201 1),   (101 2),       110010011, {13 31}
   4,   725,   (181 2),   (363 1),      1011010101, {5 29}
   4,   739,   (369 1),   (185 2),      1011100011, {739}
   4,   753,    (47 4),   (377 1),      1011110001, {3 251}
   4,   803,   (401 1),   (201 2),      1100100011, {11 73}
   4,   805,   (201 2),   (403 1),      1100100101, {5 7 23}
   4,  1477,   (369 2),   (739 1),     10111000101, {7 211}
   4,  1493,   (373 2),   (747 1),     10111010101, {1493}
   4,  1507,   (753 1),   (377 2),     10111100011, {11 137}
   4,  1605,   (401 2),   (803 1),     11001000101, {3 5 107}
   4,  1611,   (805 1),   (403 2),     11001001011, {3 179}
   4,  1613,   (403 2),   (807 1),     11001001101, {1613}
   4,  2901,   (725 2),  (1451 1),    101101010101, {3 967}
   4,  2957,   (739 2),  (1479 1),    101110001101, {2957}
   4,  3013,   (753 2),  (1507 1),    101111000101, {23 131}
   4,  3033,   (379 3),  (1517 1),    101111011001, {3 337}
   4,  3213,   (803 2),  (1607 1),    110010001101, {3 7 17}
   4,  3221,   (805 2),  (1611 1),    110010010101, {3221}
   4,  3223,  (1611 1),   (403 3),    110010010111, {11 293}
   4,  5909,  (1477 2),  (2955 1),   1011100010101, {19 311}
   4,  5973,  (1493 2),  (2987 1),   1011101010101, {3 11 181}
   4,  6029,  (1507 2),  (3015 1),   1011110001101, {6029}
   4,  6065,   (379 4),  (3033 1),   1011110110001, {5 1213}
   4,  6067,  (3033 1),  (1517 2),   1011110110011, {6067}
   4,  6421,  (1605 2),  (3211 1),   1100100010101, {6421}
   4,  6445,  (1611 2),  (3223 1),   1100100101101, {5 1289}
   4,  6453,  (1613 2),  (3227 1),   1100100110101, {3 239}
   4,  6465,   (101 6),  (3233 1),   1100101000001, {3 5 431}
   5,     7,     (3 1),     (1 3),             111, {7}
   5,    15,     (7 1),     (1 4),            1111, {3 5}
   5,    29,     (7 2),    (15 1),           11101, {29}
   5,    61,    (15 2),    (31 1),          111101, {61}
   5,   117,    (29 2),    (59 1),         1110101, {3 13}
   5,   241,    (15 4),   (121 1),        11110001, {241}
   5,   245,    (61 2),   (123 1),        11110101, {5 7}
   5,   267,   (133 1),    (67 2),       100001011, {3 89}
   5,   469,   (117 2),   (235 1),       111010101, {7 67}
   5,   483,   (241 1),   (121 2),       111100011, {3 7 23}
   5,   497,    (31 4),   (249 1),       111110001, {7 71}
   5,   535,   (267 1),    (67 3),      1000010111, {5 107}
   5,   537,    (67 3),   (269 1),      1000011001, {3 179}
   5,   965,   (241 2),   (483 1),      1111000101, {5 193}
   5,   981,   (245 2),   (491 1),      1111010101, {3 109}
   5,   985,   (123 3),   (493 1),      1111011001, {5 197}
   5,   995,   (497 1),   (249 2),      1111100011, {5 199}
   5,  1069,   (267 2),   (535 1),     10000101101, {1069}
   5,  1073,    (67 4),   (537 1),     10000110001, {29 37}
   5,  1075,   (537 1),   (269 2),     10000110011, {5 43}
