# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance
#
# `dist`    the number of odd-to-odd Collatz for n steps to reach 1
# `n`       a positive odd integer
# `nl`      the odd core valuation of the even number n-1 to the left of odd n
# `nr`      the odd core valuation of the even number n+1 to the right of odd n
# `base2`   the binary representation of n
# `factors` the prime factors of n

dist,    n,       nl,       nr,       base2, factors
   0,    1,    (0 0),    (1 1),           1, {}
   1,    5,    (1 2),    (3 1),         101, {5}
   1,   21,    (5 2),   (11 1),       10101, {3 7}
   1,   85,   (21 2),   (43 1),     1010101, {5 17}
   1,  341,   (85 2),  (171 1),   101010101, {11 31}
   2,    3,    (1 1),    (1 2),          11, {3}
   2,   13,    (3 2),    (7 1),        1101, {13}
   2,   53,   (13 2),   (27 1),      110101, {53}
   2,  113,    (7 4),   (57 1),     1110001, {113}
   2,  213,   (53 2),  (107 1),    11010101, {3 71}
   2,  227,  (113 1),   (57 2),    11100011, {227}
   2,  453,  (113 2),  (227 1),   111000101, {3 151}
   2,  853,  (213 2),  (427 1),  1101010101, {853}
   2,  909,  (227 2),  (455 1),  1110001101, {3 101}
   3,   17,    (1 4),    (9 1),       10001, {17}
   3,   35,   (17 1),    (9 2),      100011, {5 7}
   3,   69,   (17 2),   (35 1),     1000101, {3 23}
   3,   75,   (37 1),   (19 2),     1001011, {3 5}
   3,  141,   (35 2),   (71 1),    10001101, {3 47}
   3,  151,   (75 1),   (19 3),    10010111, {151}
   3,  277,   (69 2),  (139 1),   100010101, {277}
   3,  301,   (75 2),  (151 1),   100101101, {7 43}
   3,  565,  (141 2),  (283 1),  1000110101, {5 113}
   3,  605,  (151 2),  (303 1),  1001011101, {5 11}
   4,   11,    (5 1),    (3 2),        1011, {11}
   4,   23,   (11 1),    (3 3),       10111, {23}
   4,   45,   (11 2),   (23 1),      101101, {3 5}
   4,   93,   (23 2),   (47 1),     1011101, {3 31}
   4,  181,   (45 2),   (91 1),    10110101, {181}
   4,  201,   (25 3),  (101 1),    11001001, {3 67}
   4,  369,   (23 4),  (185 1),   101110001, {3 41}
   4,  373,   (93 2),  (187 1),   101110101, {373}
   4,  401,   (25 4),  (201 1),   110010001, {401}
   4,  403,  (201 1),  (101 2),   110010011, {13 31}
   4,  725,  (181 2),  (363 1),  1011010101, {5 29}
   4,  739,  (369 1),  (185 2),  1011100011, {739}
   4,  753,   (47 4),  (377 1),  1011110001, {3 251}
   4,  803,  (401 1),  (201 2),  1100100011, {11 73}
   4,  805,  (201 2),  (403 1),  1100100101, {5 7 23}
   5,    7,    (3 1),    (1 3),         111, {7}
   5,   15,    (7 1),    (1 4),        1111, {3 5}
   5,   29,    (7 2),   (15 1),       11101, {29}
   5,   61,   (15 2),   (31 1),      111101, {61}
   5,  117,   (29 2),   (59 1),     1110101, {3 13}
   5,  241,   (15 4),  (121 1),    11110001, {241}
   5,  245,   (61 2),  (123 1),    11110101, {5 7}
   5,  267,  (133 1),   (67 2),   100001011, {3 89}
   5,  469,  (117 2),  (235 1),   111010101, {7 67}
   5,  483,  (241 1),  (121 2),   111100011, {3 7 23}
   5,  497,   (31 4),  (249 1),   111110001, {7 71}
   5,  535,  (267 1),   (67 3),  1000010111, {5 107}
   5,  537,   (67 3),  (269 1),  1000011001, {3 179}
   5,  965,  (241 2),  (483 1),  1111000101, {5 193}
   5,  981,  (245 2),  (491 1),  1111010101, {3 109}
   5,  985,  (123 3),  (493 1),  1111011001, {5 197}
   5,  995,  (497 1),  (249 2),  1111100011, {5 199}
   6,    9,    (1 3),    (5 1),        1001, {3}
   6,   19,    (9 1),    (5 2),       10011, {19}
   6,   37,    (9 2),   (19 1),      100101, {37}
   6,   77,   (19 2),   (39 1),     1001101, {7 11}
   6,   81,    (5 4),   (41 1),     1010001, {3}
   6,  149,   (37 2),   (75 1),    10010101, {149}
   6,  163,   (81 1),   (41 2),    10100011, {163}
   6,  309,   (77 2),  (155 1),   100110101, {3 103}
   6,  321,    (5 6),  (161 1),   101000001, {3 107}
   6,  325,   (81 2),  (163 1),   101000101, {5 13}
   6,  331,  (165 1),   (83 2),   101001011, {331}
   6,  597,  (149 2),  (299 1),  1001010101, {3 199}
   6,  625,   (39 4),  (313 1),  1001110001, {5}
   6,  643,  (321 1),  (161 2),  1010000011, {643}
   6,  653,  (163 2),  (327 1),  1010001101, {653}
   6,  663,  (331 1),   (83 3),  1010010111, {3 13 17}
   6,  713,   (89 3),  (357 1),  1011001001, {23 31}
   6,  715,  (357 1),  (179 2),  1011001011, {5 11 13}
   7,   25,    (3 3),   (13 1),       11001, {5}
   7,   49,    (3 4),   (25 1),      110001, {7}
   7,   51,   (25 1),   (13 2),      110011, {3 17}
   7,   99,   (49 1),   (25 2),     1100011, {3 11}
   7,  101,   (25 2),   (51 1),     1100101, {101}
   7,  197,   (49 2),   (99 1),    11000101, {197}
   7,  205,   (51 2),  (103 1),    11001101, {5 41}
   7,  217,   (27 3),  (109 1),    11011001, {7 31}
   7,  397,   (99 2),  (199 1),   110001101, {397}
   7,  405,  (101 2),  (203 1),   110010101, {3 5}
   7,  433,   (27 4),  (217 1),   110110001, {433}
   7,  435,  (217 1),  (109 2),   110110011, {3 5 29}
   7,  441,   (55 3),  (221 1),   110111001, {3 7}
   7,  475,  (237 1),  (119 2),   111011011, {5 19}
   7,  789,  (197 2),  (395 1),  1100010101, {3 263}
   7,  821,  (205 2),  (411 1),  1100110101, {821}
   7,  833,   (13 6),  (417 1),  1101000001, {7 17}
   7,  857,  (107 3),  (429 1),  1101011001, {857}
   7,  867,  (433 1),  (217 2),  1101100011, {3 17}
   7,  869,  (217 2),  (435 1),  1101100101, {11 79}
   7,  875,  (437 1),  (219 2),  1101101011, {5 7}
   7,  883,  (441 1),  (221 2),  1101110011, {883}
   7,  951,  (475 1),  (119 3),  1110110111, {3 317}
   7,  953,  (119 3),  (477 1),  1110111001, {953}
   7,  955,  (477 1),  (239 2),  1110111011, {5 191}
   8,   33,    (1 5),   (17 1),      100001, {3 11}
   8,   65,    (1 6),   (33 1),     1000001, {5 13}
   8,   67,   (33 1),   (17 2),     1000011, {67}
   8,  131,   (65 1),   (33 2),    10000011, {131}
   8,  133,   (33 2),   (67 1),    10000101, {7 19}
   8,  261,   (65 2),  (131 1),   100000101, {3 29}
   8,  269,   (67 2),  (135 1),   100001101, {269}
   8,  273,   (17 4),  (137 1),   100010001, {3 7 13}
   8,  289,    (9 5),  (145 1),   100100001, {17}
   8,  525,  (131 2),  (263 1),  1000001101, {3 5 7}
   8,  529,   (33 4),  (265 1),  1000010001, {23}
   8,  533,  (133 2),  (267 1),  1000010101, {13 41}
   8,  547,  (273 1),  (137 2),  1000100011, {547}
   8,  555,  (277 1),  (139 2),  1000101011, {3 5 37}
