# Natural order of prime factor sets

This is a list of the first 1000 integers in consecutive order. For every integer n:
- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of oc.
- ternary and binary representations of the oc are given.
- `factors` is a mask of the odd prime factor set of oc, where each bit represents a prime (3, 5, 7, etc)

The pattern of prime factors in integers is a cycle modulo the product of primes as you increment n. Call this the "natural" permutation, the one you get by simply adding 1. This transform is the only thing +1 knows how to do.

(The factor sets of the odd cores are shown for the even numbers below, but note that since they only differ by a power of 2, their odd prime factor mask is unchanged).

Successive numbers share no factors, which amounts to an information-preserving mechanism. The +1 operation is an invertible permutation over all prime factor rings of integers at once, which is a very complicated mapping, but it's also a cycle modulo the product of any subset of those rings, which makes things simple again if you don't care about the specific *order* of the permutation.

And we don't.

oc,k,dist,base3,base2,factors
1,0,0,1,1,0
1,1,0,1,1,0
3,0,2,10,11,1
1,2,0,1,1,0
5,0,1,12,101,01
3,1,2,10,11,1
7,0,5,21,111,001
1,3,0,1,1,0
9,0,6,100,1001,1
5,1,1,12,101,01
11,0,4,102,1011,0001
3,2,2,10,11,1
13,0,2,111,1101,00001
7,1,5,21,111,001
15,0,5,120,1111,11
1,4,0,1,1,0
17,0,3,122,10001,000001
9,1,6,100,1001,1
19,0,6,201,10011,0000001
5,2,1,12,101,01
21,0,1,210,10101,101
11,1,4,102,1011,0001
23,0,4,212,10111,00000001
3,3,2,10,11,1
25,0,7,221,11001,01
13,1,2,111,1101,00001
27,0,41,1000,11011,1
7,2,5,21,111,001
29,0,5,1002,11101,000000001
15,1,5,120,1111,11
31,0,39,1011,11111,0000000001
1,5,0,1,1,0
33,0,8,1020,100001,1001
17,1,3,122,10001,000001
35,0,3,1022,100011,011
9,2,6,100,1001,1
37,0,6,1101,100101,00000000001
19,1,6,201,10011,0000001
39,0,11,1110,100111,10001
5,3,1,12,101,01
41,0,40,1112,101001,000000000001
21,1,1,210,10101,101
43,0,9,1121,101011,0000000000001
11,2,4,102,1011,0001
45,0,4,1200,101101,11
23,1,4,212,10111,00000001
47,0,38,1202,101111,00000000000001
3,4,2,10,11,1
49,0,7,1211,110001,001
25,1,7,221,11001,01
51,0,7,1220,110011,100001
13,2,2,111,1101,00001
53,0,2,1222,110101,000000000000001
27,1,41,1000,11011,1
55,0,41,2001,110111,0101
7,3,5,21,111,001
57,0,10,2010,111001,1000001
29,1,5,1002,11101,000000001
59,0,10,2012,111011,0000000000000001
15,2,5,120,1111,11
61,0,5,2021,111101,00000000000000001
31,1,39,1011,11111,0000000001
63,0,39,2100,111111,101
1,6,0,1,1,0
65,0,8,2102,1000001,01001
33,1,8,1020,100001,1001
67,0,8,2111,1000011,000000000000000001
17,2,3,122,10001,000001
69,0,3,2120,1000101,10000001
35,1,3,1022,100011,011
71,0,37,2122,1000111,0000000000000000001
9,3,6,100,1001,1
73,0,42,2201,1001001,00000000000000000001
37,1,6,1101,100101,00000000001
75,0,3,2210,1001011,11
19,2,6,201,10011,0000001
77,0,6,2212,1001101,0011
39,1,11,1110,100111,10001
79,0,11,2221,1001111,000000000000000000001
5,4,1,12,101,01
81,0,6,10000,1010001,1
41,1,40,1112,101001,000000000001
83,0,40,10002,1010011,0000000000000000000001
21,2,1,210,10101,101
85,0,1,10011,1010101,010001
