# `dist`      the number of odd-to-odd Collatz for n steps to reach 1
# `n`         a positive odd integer
# `factors`   the prime factors of n
# `ocldist`   the Collatz odd-to-odd distance of the odd core of n-1
# `nl`        the odd core valuation of the even number n-1 to the left of odd n
# `ofactorsl` the odd prime factors of n-1
# `ocrdist`   the Collatz odd-to-odd distance of the odd core of n+1
# `nr`        the odd core valuation of the even number n+1 to the right of odd n
# `ofactorsr` the odd prime factors of n+1
# `tcn`       the nearest "ternary core", among (0, 1, 2), after dividing out powers of three
# `base2`     the binary representation of n
# `base3`     the ternary representation of n
# `base5`     the base-5 representation of n
# `base7`     the base-7 representation of n
# `m*`        the prime residues of n modulo a set of primes
# `pre_total` the total number of preimages of n under the odd-to-odd Collatz map

dist,     n, factors,       ocldist,        nl, ofactorsl,    ocrdist,        nr, ofactorsr,      tcn,           base2,      base3,   base5,  base7, m3, m5, m7, m11, m13, m17, m19, m23, m29, m31, m37, m41, pre_total
   2,     3, {3},                 0,     (1 1), {},                 0,     (1 2), {},               1,              11,         10,       3,      3, 0,  3,  3,  3,   3,   3,   3,   3,   3,   3,   3,   3,           0
   6,     9, {3},                 0,     (1 3), {},                 1,     (5 1), {5},              1,            1001,        100,      14,     12, 0,  4,  2,  9,   9,   9,   9,   9,   9,   9,   9,   9,           0
   5,    15, {3 5},               5,     (7 1), {7},                0,     (1 4), {},               5,            1111,        120,      30,     21, 0,  0,  1,  4,   2,   15,  15,  15,  15,  15,  15,  15,          0
   1,    21, {3 7},               1,     (5 2), {5},                4,    (11 1), {11},             7,           10101,        210,      41,     30, 0,  1,  0,  10,  8,   4,   2,   21,  21,  21,  21,  21,          0
  41,    27, {3},                 2,    (13 1), {13},               5,     (7 2), {7},              1,           11011,       1000,     102,     36, 0,  2,  6,  5,   1,   10,  8,   4,   27,  27,  27,  27,          0
   8,    33, {3 11},              0,     (1 5), {},                 3,    (17 1), {17},            11,          100001,       1020,     113,     45, 0,  3,  5,  0,   7,   16,  14,  10,  4,   2,   33,  33,          0
  11,    39, {3 13},              6,    (19 1), {19},               1,     (5 3), {5},             13,          100111,       1110,     124,     54, 0,  4,  4,  6,   0,   5,   1,   16,  10,  8,   2,   39,          0
   4,    45, {3 5},               4,    (11 2), {11},               4,    (23 1), {23},             5,          101101,       1200,     140,     63, 0,  0,  3,  1,   6,   11,  7,   22,  16,  14,  8,   4,           0
   7,    51, {3 17},              7,    (25 1), {5},                2,    (13 2), {13},            17,          110011,       1220,     201,    102, 0,  1,  2,  7,   12,  0,   13,  5,   22,  20,  14,  10,          0
  10,    57, {3 19},              5,     (7 3), {7},                5,    (29 1), {29},            19,          111001,       2010,     212,    111, 0,  2,  1,  2,   5,   6,   0,   11,  28,  26,  20,  16,          0
  39,    63, {3 7},              39,    (31 1), {31},               0,     (1 6), {},               7,          111111,       2100,     223,    120, 0,  3,  0,  8,   11,  12,  6,   17,  5,   1,   26,  22,          0
   3,    69, {3 23},              3,    (17 2), {17},               3,    (35 1), {5 7},           23,         1000101,       2120,     234,    126, 0,  4,  6,  3,   4,   1,   12,  0,   11,  7,   32,  28,          0
   3,    75, {3 5},               6,    (37 1), {37},               6,    (19 2), {19},            25,         1001011,       2210,     300,    135, 0,  0,  5,  9,   10,  7,   18,  6,   17,  13,  1,   34,          0
   6,    81, {3},                 1,     (5 4), {5},               40,    (41 1), {41},             1,         1010001,      10000,     311,    144, 0,  1,  4,  4,   3,   13,  5,   12,  23,  19,  7,   40,          0
   9,    87, {3 29},              9,    (43 1), {43},               4,    (11 3), {11},            29,         1010111,      10020,     322,    153, 0,  2,  3,  10,  9,   2,   11,  18,  0,   25,  13,  5,           0
   4,    93, {3 31},              4,    (23 2), {23},              38,    (47 1), {47},            31,         1011101,      10110,     333,    162, 0,  3,  2,  5,   2,   8,   17,  1,   6,   0,   19,  11,          0
   7,    99, {3 11},              7,    (49 1), {7},                7,    (25 2), {5},             11,         1100011,      10200,     344,    201, 0,  4,  1,  0,   8,   14,  4,   7,   12,  6,   25,  17,          0
  12,   105, {3 5 7},             2,    (13 3), {13},               2,    (53 1), {53},            35,         1101001,      10220,     410,    210, 0,  0,  0,  6,   1,   3,   10,  13,  18,  12,  31,  23,          0
  24,   111, {3 37},             41,    (55 1), {5 11},             5,     (7 4), {7},             37,         1101111,      11010,     421,    216, 0,  1,  6,  1,   7,   9,   16,  19,  24,  18,  0,   29,          0
   5,   117, {3 13},              5,    (29 2), {29},              10,    (59 1), {59},            13,         1110101,      11100,     432,    225, 0,  2,  5,  7,   0,   15,  3,   2,   1,   24,  6,   35,          0
  15,   123, {3 41},              5,    (61 1), {61},              39,    (31 2), {31},            41,         1111011,      11120,     443,    234, 0,  3,  4,  2,   6,   4,   9,   8,   7,   30,  12,  0,           0
  44,   129, {3 43},              0,     (1 7), {},                 8,    (65 1), {5 13},          43,        10000001,      11210,    1004,    243, 0,  4,  3,  8,   12,  10,  15,  14,  13,  5,   18,  6,           0
