# Odd core environment

This is a list of integers in consecutive order. For every `n`:
- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of the odd core.
- 'base3' and 'base2' representations of the odd core are given.
- residues of the odd core modulo a set of small primes follows (`m3`, `m5`, etc)

n,oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73
1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,0,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,5,0,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,3,1,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7,7,0,5,21,111,1,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,9,0,6,100,1001,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,5,1,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11,11,0,4,102,1011,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
12,3,2,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
13,13,0,2,111,1101,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
14,7,1,5,21,111,1,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
15,15,0,5,120,1111,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,1,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,17,0,3,122,10001,2,2,3,6,4,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17
18,9,1,6,100,1001,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
19,19,0,6,201,10011,1,4,5,8,6,2,0,19,19,19,19,19,19,19,19,19,19,19,19,19
20,5,2,1,12,101,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
21,21,0,1,210,10101,0,1,0,10,8,4,2,21,21,21,21,21,21,21,21,21,21,21,21,21
22,11,1,4,102,1011,2,1,4,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
23,23,0,4,212,10111,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23,23
24,3,3,2,10,11,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
25,25,0,7,221,11001,1,0,4,3,12,8,6,2,25,25,25,25,25,25,25,25,25,25,25,25
