# "Odd core neighbor" fingerprints by Collatz odd-to-odd stopping distance

desc,k,oc,m3,m5,m7,m11,m13,m17,m19,m23,m29

# dist 87:
oc(3711-1),1,1855,1,0,0,7,9,2,12,15,28
oc(3711+1),7,29,2,4,1,7,3,12,10,6,0

# dist 79:
oc(2919-1),1,1459,1,4,3,7,3,14,15,10,9
oc(2919+1),3,365,2,0,1,2,1,8,4,20,17

# dist 78:
oc(4379-1),1,2189,2,4,5,0,5,13,4,4,14
oc(4379+1),2,1095,0,0,3,6,3,7,12,14,22

# dist 76:
oc(2463-1),1,1231,1,1,6,10,9,7,15,12,13
oc(2463+1),5,77,2,2,0,0,12,9,1,8,19
oc(4927-1),1,2463,0,3,6,10,6,15,12,2,27
oc(4927+1),6,77,2,2,0,0,12,9,1,8,19

# dist 75:
oc(3695-1),1,1847,2,2,6,10,1,11,4,7,20
oc(3695+1),4,231,0,1,0,0,10,10,3,1,28

# dist 73:
oc(4233-1),3,529,1,4,4,1,9,2,16,0,7
oc(4233+1),1,2117,2,2,3,5,11,9,8,1,0
oc(4255-1),1,2127,0,2,6,4,8,2,18,11,10
oc(4255+1),5,133,1,3,0,1,3,14,0,18,17

# dist 72:
oc(3175-1),1,1587,0,2,5,3,1,6,10,0,21
oc(3175+1),3,397,1,2,5,1,7,6,17,6,20

# dist 71:
oc(4763-1),1,2381,2,1,1,5,2,1,6,12,3
oc(4763+1),2,1191,0,1,1,3,8,1,13,18,2
oc(4935-1),1,2467,1,2,3,3,10,2,16,6,2
oc(4935+1),3,617,2,2,1,1,6,5,9,19,8

# dist 70:
oc(3567-1),1,1783,1,3,5,1,2,15,16,12,14
oc(3567+1),4,223,1,3,6,3,2,2,14,16,20

# dist 69:
oc(2631-1),1,1315,1,0,6,6,2,6,4,4,10
oc(2631+1),3,329,2,4,0,10,4,6,6,7,10

# dist 68:
oc(3947-1),1,1973,2,3,6,4,10,1,16,18,1
oc(3947+1),2,987,0,2,0,8,12,1,18,21,1
oc(3999-1),1,1999,1,4,4,8,10,10,4,21,27
oc(3999+1),5,125,2,0,6,4,8,6,11,10,9
oc(4011-1),1,2005,1,0,3,3,3,16,10,4,4
oc(4011+1),2,1003,1,3,2,2,2,0,15,14,17
oc(4129-1),5,129,0,4,3,8,12,10,15,14,13
oc(4129+1),1,2065,1,0,0,8,11,8,13,18,6

