## Collatz orbit of 871

- `oc` is the 2-adic "odd core" of the number, after removing all factors of 2. For odd numbers, oc is the number itself.
- `k` is the 2-adic exponent, the number of halvings (n = oc * 2^k). For odd numbers, k is always 0.
- `dist` is the odd-to-odd Collatz stopping distance of oc.
- ternary and binary representations of the oc are given.
- `factors` is a mask of the odd prime factor set of oc, where each bit represents prime 3, 5, 7, etc
- residues of oc modulo a set of small primes then follow 

oc,k,dist,base3,base2,factors,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73,m79,m83,m89,m97,m101,m103,m107,m109,m113,m127
871,0,65,1012021,1101100111,000010000000000001,1,1,3,2,0,4,16,20,1,3,20,10,11,25,23,45,17,0,19,68,2,41,70,95,63,47,15,108,80,109
1307,0,64,1210102,10100011011,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,2,2,5,9,7,15,15,19,2,5,12,36,17,38,35,9,26,34,29,66,43,62,61,46,95,71,23,108,64,37
1961,0,63,2200122,11110101001,000000000010001,2,1,1,3,11,6,4,6,18,8,0,34,26,34,0,14,9,18,44,63,65,52,3,21,42,4,35,108,40,56
1471,0,62,2000111,10110111111,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,1,1,1,8,2,9,8,22,21,14,28,36,9,14,40,55,7,64,51,11,49,60,47,16,57,29,80,54,2,74
2207,0,61,10000202,100010011111,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,2,2,2,7,10,14,3,22,3,6,24,34,14,45,34,24,11,63,6,17,74,49,71,73,86,44,67,27,60,48
3311,0,60,11112122,110011101111,0011000000001,2,1,0,0,9,13,5,22,5,25,18,31,0,21,25,7,17,28,45,26,72,74,18,13,79,15,101,41,34,9
4967,0,59,20210222,1001101100111,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,2,2,4,6,1,3,8,22,8,7,9,6,22,32,38,11,26,9,68,3,69,70,72,20,18,23,45,62,108,14
7451,0,58,101012222,1110100011011,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,2,1,3,4,2,5,3,22,27,11,14,30,12,25,31,17,9,14,67,5,25,64,64,79,78,35,68,39,106,85
11177,0,57,120022222,10101110101001,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,2,2,5,1,10,8,5,22,12,17,3,25,40,38,47,26,14,55,30,8,38,55,52,22,67,53,49,59,103,1
8383,0,56,102111111,10000010111111,0000000000000000000001001,1,3,4,1,11,2,4,11,2,13,21,19,41,17,9,5,26,8,5,61,9,0,17,41,0,40,37,99,21,1
12575,0,55,122020202,11000100011111,01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,2,0,3,2,4,12,16,17,18,20,32,29,19,26,14,8,9,46,8,19,14,42,26,62,51,9,56,40,32,2
18863,0,54,221212122,100100110101111,0000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,2,3,5,9,0,10,15,3,13,15,30,3,29,16,48,42,14,36,48,29,61,22,84,45,77,14,31,6,105,67
28295,0,53,1102210222,110111010000111,0100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001,2,0,1,3,7,7,4,5,20,23,27,5,1,1,46,34,52,21,37,44,13,75,82,68,15,73,47,64,45,101
