# Orbit of 6171

This is well studied Collatz sequence 6171, given in odd-to-odd Collatz order.
Every n is represented by a group of 7 lines that forms a small tree, with n in the center.
The "children" of n are defined as the 2-adic odd cores of its even neighbors, n-1 and n+1.
They have their own children in turn, and for every n this hierarchy is shown.

## Collatz orbit of 6171
oc,k,dist,base3,base2,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71

771,2,9,1001120,1100000011,0,1,1,1,4,6,11,12,17,27,31,33,40,19,29,4,39,34,61 # oc(oc(6171-1)-1)
3085,1,9,11020021,110000001101,1,0,5,5,4,8,7,3,11,16,14,10,32,30,11,17,35,3,32 # oc(6171-1)
1543,1,38,2010011,11000000111,1,3,3,3,9,13,4,2,6,24,26,26,38,39,6,9,18,2,52 # oc(oc(6171-1)+1)
6171,0,96,22110120,1100000011011,0,1,4,0,9,0,15,7,23,2,29,21,22,14,23,35,10,7,65 # 6171 -> 9257
771,1,9,1001120,1100000011,0,1,1,1,4,6,11,12,17,27,31,33,40,19,29,4,39,34,61 # oc(oc(6171+1)-1)
1543,2,38,2010011,11000000111,1,3,3,3,9,13,4,2,6,24,26,26,38,39,6,9,18,2,52 # oc(6171+1)
193,3,43,21011,11000001,1,3,4,6,11,6,3,9,19,7,8,29,21,5,34,16,10,59,51 # oc(oc(6171+1)+1)

289,2,8,101201,100100001,1,4,2,3,3,0,4,13,28,10,30,2,31,7,24,53,45,21,5 # oc(oc(9257-1)-1)
1157,3,8,1120212,10010000101,2,2,2,2,0,1,17,7,26,10,10,9,39,29,44,36,59,18,21 # oc(9257-1)
579,1,8,210110,1001000011,0,4,5,7,7,1,9,4,28,21,24,5,20,15,49,48,30,43,11 # oc(oc(9257-1)+1)
9257,0,95,110200212,10010000101001,2,2,3,6,1,9,4,11,6,19,7,32,12,45,35,53,46,11,27 # 9257 -> 6943
1157,2,8,1120212,10010000101,2,2,2,2,0,1,17,7,26,10,10,9,39,29,44,36,59,18,21 # oc(oc(9257+1)-1)
4629,1,8,20100110,1001000010101,0,4,2,9,1,5,12,6,18,10,4,37,28,23,18,27,54,6,14 # oc(9257+1)
2315,1,37,10011202,100100001011,2,0,5,5,1,3,16,15,24,21,21,19,36,12,36,14,58,37,43 # oc(oc(9257+1)+1)

1735,1,36,2101021,11011000111,1,0,6,8,6,1,6,10,24,30,33,13,15,43,39,24,27,60,31 # oc(oc(6943-1)-1)
3471,1,36,11202120,110110001111,0,1,6,6,0,3,13,21,20,30,30,27,31,40,26,49,55,54,63 # oc(6943-1)
217,4,7,22001,11011001,1,2,0,8,9,13,8,10,14,0,32,12,2,29,5,40,34,16,4 # oc(oc(6943-1)+1)
6943,0,94,100112011,1101100011111,1,3,6,2,1,7,8,20,12,30,24,14,20,34,0,40,50,42,56 # 6943 -> 10415
27,3,41,1000,11011,0,2,6,5,1,10,8,4,27,27,27,27,27,27,27,27,27,27,27 # oc(oc(6943+1)-1)
217,5,7,22001,11011001,1,2,0,8,9,13,8,10,14,0,32,12,2,29,5,40,34,16,4 # oc(6943+1)
109,1,41,11001,1101101,1,4,4,10,5,7,14,17,22,16,35,27,23,15,3,50,48,42,38 # oc(oc(6943+1)+1)

2603,1,35,10120102,101000101011,2,3,6,7,3,2,0,4,22,30,13,20,23,18,6,7,41,57,47 # oc(oc(10415-1)-1)
5207,1,35,21010212,1010001010111,2,2,6,4,7,5,1,9,16,30,27,0,4,37,13,15,22,48,24 # oc(10415-1)
651,3,35,220010,1010001011,0,1,0,2,1,5,5,7,13,0,22,36,6,40,15,2,41,48,12 # oc(oc(10415-1)+1)
10415,0,93,112021202,10100010101111,2,0,6,9,2,11,3,19,4,30,18,1,9,28,27,31,45,30,49 # 10415 -> 15623
325,1,6,110001,101000101,1,0,3,6,0,2,2,3,6,15,29,38,24,43,7,30,20,57,41 # oc(oc(10415+1)-1)
651,4,35,220010,1010001011,0,1,0,2,1,5,5,7,13,0,22,36,6,40,15,2,41,48,12 # oc(10415+1)
163,2,6,20001,10100011,1,3,2,9,7,10,11,2,18,8,15,40,34,22,4,45,41,29,21 # oc(oc(10415+1)+1)

