These are some long Collatz sequences. The tables show the residue vectors of the 2-adic odd cores of n's immediate even neighbors. When combined with k, they completely encode its state, like a fingerprint of n's local arithmetic environment. Considered together they reveal rich information about n.


Collatz orbit of 7:
n,k,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73,comment

# 7 (dist 5)
3,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,oc(6)
1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,oc(8)

# 11 (dist 4)
5,1,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,oc(10)
3,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,oc(12)

# 17 (dist 3)
1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,oc(16)
9,1,0,4,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,oc(18)

# 13 (dist 2)
3,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,oc(12)
7,1,1,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,oc(14)

# 5 (dist 1)
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,oc(4)
3,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,oc(6)


Collatz orbit of 27:
n,k,m3,m5,m7,m11,m13,m17,m19,m23,m29,m31,m37,m41,m43,m47,m53,m59,m61,m67,m71,m73,comment

# 27 (dist 41)
13,1,1,3,6,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,oc(26)
7,2,1,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,oc(28)

# 41 (dist 40)
5,3,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,oc(40)
21,1,0,1,0,10,8,4,2,21,21,21,21,21,21,21,21,21,21,21,21,21,oc(42)

# 31 (dist 39)
15,1,0,0,1,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,oc(30)
1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,oc(32)

# 47 (dist 38)
23,1,2,3,2,1,10,6,4,0,23,23,23,23,23,23,23,23,23,23,23,23,oc(46)
3,4,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,oc(48)

# 71 (dist 37)
