# Orbit traces of odd numbers under 1000

Here is the same table printed 3 times:
- in order of ascending n 
- sorted by stopping distance, to group numbers with similar fates 
- sorted by orbit (backwards), to show where they merge

Many adjacent odd numbers have the same stopping time, but diverge for (usually 3 or 6) steps before joining. The intermediate steps are often strongly correlated (part of a chain of almost-doublings).

# `n`          a positive odd integer
# `base2`      the binary representation of n
# `base3`      the ternary representation of n
# `factors`    the prime factors of n
# `dist`       the number of odd-to-odd Collatz for n steps to reach 1
# `nl`         the odd core valuation of the even number to the left of odd n
# `ocldist`    the Collatz odd-to-odd distance of the odd core of n-1
# `nr`         the odd core valuation of the even number to the right of odd n
# `ocrdist`    the Collatz odd-to-odd distance of the odd core of n+1
# `orbit_back` the remaining orbit of n under the odd-to-odd Collatz map, bacwards from 1

n,   base2,      base3,   factors,   dist, nl,      ocldist, nr,      ocrdist, orbit_back
1,   1,          1,       {},        0,    (0 0),   0,       (1 1),   0,       1
3,   11,         10,      {3},       2,    (1 1),   0,       (1 2),   0,       1<- 5<- 3
5,   101,        12,      {5},       1,    (1 2),   0,       (3 1),   2,       1<- 5
7,   111,        21,      {7},       5,    (3 1),   2,       (1 3),   0,       1<- 5<- 13<- 17<- 11<- 7
9,   1001,       100,     {3},       6,    (1 3),   0,       (5 1),   1,       1<- 5<- 13<- 17<- 11<- 7<- 9
11,  1011,       102,     {11},      4,    (5 1),   1,       (3 2),   2,       1<- 5<- 13<- 17<- 11
13,  1101,       111,     {13},      2,    (3 2),   2,       (7 1),   5,       1<- 5<- 13
15,  1111,       120,     {3 5},     5,    (7 1),   5,       (1 4),   0,       1<- 5<- 53<- 35<- 23<- 15
17,  10001,      122,     {17},      3,    (1 4),   0,       (9 1),   6,       1<- 5<- 13<- 17
19,  10011,      201,     {19},      6,    (9 1),   6,       (5 2),   1,       1<- 5<- 13<- 17<- 11<- 29<- 19
21,  10101,      210,     {3 7},     1,    (5 2),   1,       (11 1),  4,       1<- 21
23,  10111,      212,     {23},      4,    (11 1),  4,       (3 3),   2,       1<- 5<- 53<- 35<- 23
25,  11001,      221,     {5},       7,    (3 3),   2,       (13 1),  2,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 25
27,  11011,      1000,    {3},       41,   (13 1),  2,       (7 2),   5,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 41<- 27
29,  11101,      1002,    {29},      5,    (7 2),   5,       (15 1),  5,       1<- 5<- 13<- 17<- 11<- 29
31,  11111,      1011,    {31},      39,   (15 1),  5,       (1 5),   0,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31
33,  100001,     1020,    {3 11},    8,    (1 5),   0,       (17 1),  3,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 25<- 33
35,  100011,     1022,    {5 7},     3,    (17 1),  3,       (9 2),   6,       1<- 5<- 53<- 35
37,  100101,     1101,    {37},      6,    (9 2),   6,       (19 1),  6,       1<- 5<- 13<- 17<- 11<- 7<- 37
39,  100111,     1110,    {3 13},    11,   (19 1),  6,       (5 3),   1,       1<- 5<- 13<- 17<- 11<- 29<- 19<- 101<- 67<- 89<- 59<- 39
41,  101001,     1112,    {41},      40,   (5 3),   1,       (21 1),  1,       1<- 5<- 53<- 35<- 23<- 61<- 325<- 433<- 577<- 3077<- 2051<- 1367<- 911<- 2429<- 1619<- 1079<- 719<- 479<- 319<- 425<- 283<- 377<- 251<- 167<- 445<- 593<- 395<- 263<- 175<- 233<- 155<- 103<- 137<- 91<- 121<- 161<- 107<- 71<- 47<- 31<- 41
