# `n`         a positive integer
# `factors`   the prime factorization of n
# `psym`      the symmetric primes at equal offsets around n
# `primeness` notes if n is a prime, prime power, prime twin, radical, radical power, primorial, or primorial power

n,      factors,       psym,                        primeness
2,      2,             [],                          prime
3,      3,             [],                          prime twin
4,      2²,            [1],                         prime power
5,      5,             [2],                         prime twin
6,      2 3,           [1],                         radical
7,      7,             [4],                         prime twin
8,      2³,            [3 5],                       prime power
9,      3²,            [2 4],                       prime power
10,     2 5,           [3 7],                       radical
11,     11,            [6 8],                       prime twin
12,     2² 3,          [1 5 7],                     
13,     13,            [6 10],                      prime twin
14,     2 7,           [3 9],                       radical
15,     3 5,           [2 4 8],                     radical
16,     2⁴,            [3 13],                      prime power
17,     17,            [6 12 14],                   prime twin
18,     2 3²,          [1 5 11 13],                 
19,     19,            [12],                        prime twin
20,     2² 5,          [3 9 17],                    
21,     3 7,           [2 8 10 16],                 radical
22,     2 11,          [9 15 19],                   radical
23,     23,            [6 18 20],                   prime
24,     2³ 3,          [5 7 13 17 19],              
25,     5²,            [6 12 18 22],                prime power
26,     2 13,          [3 15 21],                   radical
27,     3³,            [4 10 14 16 20],             prime power
28,     2² 7,          [9 15 25],                   
29,     29,            [12 18 24],                  prime twin
30,     2 3 5,         [1 7 11 13 17 23],           radical
31,     31,            [12 28],                     prime twin
32,     2⁵,            [9 15 21 27 29],             prime power
33,     3 11,          [4 10 14 20 26 28],          radical
34,     2 17,          [3 27],                      radical
35,     5 7,           [6 12 18 24 32],             radical
36,     2² 3²,         [5 7 17 23 25 31],           radical power
37,     37,            [6 24 30 34],                prime
38,     2 19,          [9 15 21 33 35],             radical
39,     3 13,          [2 8 20 22 28 32 34],        radical
40,     2³ 5,          [3 21 27 33],                
41,     41,            [12 18 30 38],               prime twin
42,     2 3 7,         [1 5 11 19 25 29 31 37],     radical
43,     43,            [24 30 36 40],               prime twin
44,     2² 11,         [3 15 27 39],                
45,     3² 5,          [2 8 14 16 22 26 28 34],     
46,     2 23,          [15 27 33 43],               radical
47,     47,            [6 24 36 42],                prime
48,     2⁴ 3,          [5 11 19 25 31 35 41],       
49,     7²,            [12 18 30],                  prime power
50,     2 5²,          [3 9 21 33 39 47],           
51,     3 17,          [8 10 20 22 28 32 38 46],    radical
52,     2² 13,         [9 15 21 45 49],             
53,     53,            [6 30 36 48 50],             prime
54,     2 3³,          [7 13 17 25 35 43 47 49],    
55,     5 11,          [12 18 24 42 48 52],         radical
56,     2³ 7,          [3 15 27 33 45 51 53],       
57,     3 19,          [4 10 14 16 26 40 44 46],    radical
58,     2 29,          [15 21 39 45 51 55],         radical
59,     59,            [12 30 42 48 54],            prime twin
60,     2² 3 5,        [1 7 13 19 23 29 37 41],     
61,     61,            [18 42 48],                  prime twin
62,     2 31,          [9 21 39 45 51],             radical
63,     3² 7,          [4 10 16 20 26 34 40 44],    
64,     2⁶,            [3 33 45],                   prime power
65,     5 13,          [6 18 24 36 42 48 62],       radical
66,     2 3 11,        [5 7 13 23 35 37 43 47],     radical
67,     67,            [6 30 36 60 64],             prime
68,     2² 17,         [15 21 39 45 63],            
69,     3 23,          [2 10 28 32 38 40 58 62],    radical
70,     2 5 7,         [3 9 27 33 39 57 67],        radical
71,     71,            [12 18 30 42 60 66 68],      prime twin
72,     2³ 3²,         [1 11 25 29 31 35 41 55],    
73,     73,            [6 30 36 54 66],             prime twin
74,     2 37,          [15 27 33 57 63],            radical
75,     3 5²,          [4 8 14 22 28 32 34 38],     
76,     2² 19,         [3 33 63 73],                
77,     7 11,          [6 24 30 36 54 60 72 74],    radical
78,     2 3 13,        [5 11 19 25 31 35 49 59],    radical
79,     79,            [18 48 60 72],               prime
80,     2⁴ 5,          [9 21 27 33 51 57 69 77],    
81,     3⁴,            [2 8 20 22 28 50 58 68],     prime power
82,     2 41,          [15 21 45 69 75],            radical
83,     83,            [24 30 54 66 80],            prime
84,     2² 3 7,        [5 13 17 23 25 43 47 53],    
85,     5 17,          [12 18 24 42 54 66 72 78],   radical
86,     2 43,          [3 15 27 45 63 81],          radical
87,     3 29,          [14 16 20 26 40 44 50 64],   radical
88,     2³ 11,         [9 15 21 51 69 75 85],       
89,     89,            [18 42 48 60 78 84],         prime
90,     2 3² 5,        [7 11 17 19 23 37 47 49],    
91,     7 13,          [12 18 48 60 72 88],         radical
92,     2² 23,         [9 21 39 45 75 81 87 89],    
93,     3 31,          [4 10 14 20 34 46 56 64],    radical
94,     2 47,          [15 33 57 63 87],            radical
95,     5 19,          [6 12 36 42 54 72 78 84],    radical
96,     2⁵ 3,          [7 13 17 35 43 53 55 67],    
97,     97,            [30 54 60 66 84 94],         prime
98,     2 7²,          [9 15 39 51 69 75 81 93],    
99,     3² 11,         [2 10 28 32 38 40 52 58],    
100,    2² 5²,         [3 27 39 57 63 81 93 97],    radical power
101,    101,           [12 30 48 72 78 90 96 98],   prime twin
102,    2 3 17,        [1 5 29 35 49 55 61 65],     radical
103,    103,           [6 24 36 60 90 96],          prime twin
104,    2³ 13,         [3 33 45 63 75 87 93],       
105,    3 5 7,         [2 4 8 22 26 32 34 44],      radical
106,    2 53,          [3 33 45 75 87 93],          radical
107,    107,           [6 24 60 66 84 90],          prime twin
108,    2² 3³,         [1 5 19 29 41 49 55 65],     
109,    109,           [30 42 48 72 90],            prime twin
110,    2 5 11,        [3 21 27 39 57 63 69 81],    radical
111,    3 37,          [2 28 38 40 52 68 70 80],    radical
112,    2⁴ 7,          [15 39 45 51 69 81 99],      
113,    113,           [24 54 60 66 84],            prime
114,    2 3 19,        [13 17 25 35 43 53 67 77],   radical
115,    5 23,          [12 36 42 48 78 84 96],      radical
116,    2² 29,         [15 33 57 63 75],            
117,    3² 13,         [10 14 20 34 46 50 56 64],   
118,    2 59,          [9 21 39 45 75 81],          radical
119,    7 17,          [12 18 30 48 60 72 78],      radical
120,    2³ 3 5,        [7 11 17 19 31 37 47 53],    
121,    11²,           [18 42 60 78 90],            prime power
122,    2 61,          [9 15 51 69 75],             radical
123,    3 41,          [14 16 26 34 40 44 50 56],   radical
124,    2² 31,         [15 27 57 87],               
125,    5³,            [12 24 42 54 66 72],         prime power
126,    2 3² 7,        [13 23 25 37 47 53 55 65],   
127,    127,           [24 30 54 66 84 96],         prime
128,    2⁷,            [21 39 45 69 99],            prime power
129,    3 43,          [2 20 22 28 50 62 68 70],    radical
130,    2 5 13,        [21 27 33 51 63 69 93 99],   radical
131,    131,           [18 42 48 60],               prime
132,    2² 3 11,       [5 19 25 31 35 49 59 61],    
