# `n`             a positive integer
# `factorization` the prime factorization of n, including exponents
# `primeness`     notes if n is a prime, prime power, radical, radical power, or primorial
# `m*`            the prime residues of n modulo a set of primes

    n, factorization, primeness,      m3, m5, m7, m11, m13, m17, m19, m23, m29, m31
    1, 1,             ,               1,  1,  1,  1,   1,   1,   1,   1,   1,   1
    2, 2,             ,               2,  2,  2,  2,   2,   2,   2,   2,   2,   2
    3, 3,             prime,          0,  3,  3,  3,   3,   3,   3,   3,   3,   3
    4, 2²,            prime power,    1,  4,  4,  4,   4,   4,   4,   4,   4,   4
    5, 5,             prime,          2,  0,  5,  5,   5,   5,   5,   5,   5,   5
    6, 2 3,           primorial,      0,  1,  6,  6,   6,   6,   6,   6,   6,   6
    7, 7,             prime,          1,  2,  0,  7,   7,   7,   7,   7,   7,   7
    8, 2³,            prime power,    2,  3,  1,  8,   8,   8,   8,   8,   8,   8
    9, 3²,            prime power,    0,  4,  2,  9,   9,   9,   9,   9,   9,   9
   10, 2 5,           radical,        1,  0,  3,  10,  10,  10,  10,  10,  10,  10
   11, 11,            prime,          2,  1,  4,  0,   11,  11,  11,  11,  11,  11
   12, 2² 3,          ,               0,  2,  5,  1,   12,  12,  12,  12,  12,  12
   13, 13,            prime,          1,  3,  6,  2,   0,   13,  13,  13,  13,  13
   14, 2 7,           radical,        2,  4,  0,  3,   1,   14,  14,  14,  14,  14
   15, 3 5,           radical,        0,  0,  1,  4,   2,   15,  15,  15,  15,  15
   16, 2⁴,            prime power,    1,  1,  2,  5,   3,   16,  16,  16,  16,  16
   17, 17,            prime,          2,  2,  3,  6,   4,   0,   17,  17,  17,  17
   18, 2 3²,          ,               0,  3,  4,  7,   5,   1,   18,  18,  18,  18
   19, 19,            prime,          1,  4,  5,  8,   6,   2,   0,   19,  19,  19
   20, 2² 5,          ,               2,  0,  6,  9,   7,   3,   1,   20,  20,  20
   21, 3 7,           radical,        0,  1,  0,  10,  8,   4,   2,   21,  21,  21
   22, 2 11,          radical,        1,  2,  1,  0,   9,   5,   3,   22,  22,  22
   23, 23,            prime,          2,  3,  2,  1,   10,  6,   4,   0,   23,  23
   24, 2³ 3,          ,               0,  4,  3,  2,   11,  7,   5,   1,   24,  24
   25, 5²,            prime power,    1,  0,  4,  3,   12,  8,   6,   2,   25,  25
   26, 2 13,          radical,        2,  1,  5,  4,   0,   9,   7,   3,   26,  26
   27, 3³,            prime power,    0,  2,  6,  5,   1,   10,  8,   4,   27,  27
   28, 2² 7,          ,               1,  3,  0,  6,   2,   11,  9,   5,   28,  28
   29, 29,            prime,          2,  4,  1,  7,   3,   12,  10,  6,   0,   29
   30, 2 3 5,         primorial,      0,  0,  2,  8,   4,   13,  11,  7,   1,   30
   31, 31,            prime,          1,  1,  3,  9,   5,   14,  12,  8,   2,   0
   32, 2⁵,            prime power,    2,  2,  4,  10,  6,   15,  13,  9,   3,   1
   33, 3 11,          radical,        0,  3,  5,  0,   7,   16,  14,  10,  4,   2
   34, 2 17,          radical,        1,  4,  6,  1,   8,   0,   15,  11,  5,   3
   35, 5 7,           radical,        2,  0,  0,  2,   9,   1,   16,  12,  6,   4
   36, 2² 3²,         radical power,  0,  1,  1,  3,   10,  2,   17,  13,  7,   5
   37, 37,            prime,          1,  2,  2,  4,   11,  3,   18,  14,  8,   6
   38, 2 19,          radical,        2,  3,  3,  5,   12,  4,   0,   15,  9,   7
   39, 3 13,          radical,        0,  4,  4,  6,   0,   5,   1,   16,  10,  8
   40, 2³ 5,          ,               1,  0,  5,  7,   1,   6,   2,   17,  11,  9
