# Twin prime centers up to 100000

# `n`       a positive even integer sitting between two prime numbers
# `base3`   the ternary representation of n
# `symbol3` symbolic representation of the ternary encoding of n (1 = "0", 2 = "2", 3 = "1")
# `base2`   the binary representation of n
# `symbol2` symbolic representation of the binary encoding of n (1 = "0", 2 = "1")
# `factors` the prime factors of n

     n,        base3,      symbol3,              base2,            symbol2, factors
     4,           11,           22,                100,                100, {2}
     6,           20,           10,                110,                110, {2 3}
    12,          110,          220,               1100,               1100, {2 3}
    18,          200,          100,              10010,              10010, {2 3}
    30,         1010,         2020,              11110,              11110, {2 3 5}
    42,         1120,         2210,             101010,             101010, {2 3 7}
    60,         2020,         1010,             111100,             111100, {2 3 5}
    72,         2200,         1100,            1001000,            1001000, {2 3}
   102,        10210,        20120,            1100110,            1100110, {2 3 17}
   108,        11000,        22000,            1101100,            1101100, {2 3}
   138,        12010,        21020,           10001010,           10001010, {2 3 23}
   150,        12120,        21210,           10010110,           10010110, {2 3 5}
   180,        20200,        10100,           10110100,           10110100, {2 3 5}
   192,        21010,        12020,           11000000,           11000000, {2 3}
   198,        21100,        12200,           11000110,           11000110, {2 3 11}
   228,        22110,        11220,           11100100,           11100100, {2 3 19}
   240,        22220,        11110,           11110000,           11110000, {2 3 5}
   270,       101000,       202000,          100001110,          100001110, {2 3 5}
   282,       101110,       202220,          100011010,          100011010, {2 3 47}
   312,       102120,       201210,          100111000,          100111000, {2 3 13}
   348,       110220,       220110,          101011100,          101011100, {2 3 29}
   420,       120120,       210210,          110100100,          110100100, {2 3 5 7}
   432,       121000,       212000,          110110000,          110110000, {2 3}
   462,       122010,       211020,          111001110,          111001110, {2 3 7 11}
   522,       201100,       102200,         1000001010,         1000001010, {2 3 29}
   570,       210010,       120020,         1000111010,         1000111010, {2 3 5 19}
   600,       211020,       122010,         1001011000,         1001011000, {2 3 5}
   618,       211220,       122110,         1001101010,         1001101010, {2 3 103}
   642,       212210,       121120,         1010000010,         1010000010, {2 3 107}
   660,       220110,       110220,         1010010100,         1010010100, {2 3 5 11}
   810,      1010000,      2020000,         1100101010,         1100101010, {2 3 5}
   822,      1010110,      2020220,         1100110110,         1100110110, {2 3 137}
