# Twin prime centers up to 10000

# `n`       a positive even integer sitting between two prime numbers
# `base3`   the ternary representation of n
# `symbol3` symbolic representation of the ternary encoding of n (1 = "░", 2 = "▒", 3 = "█")
# `base2`   the binary representation of n
# `symbol2` symbolic representation of the binary encoding of n (1 = "░", 2 = "█")
# `factors` the prime factors of n

    n,      base3,    symbol3,           base2,         symbol2, factors
    4,         11,         ▒▒,             100,             █░░, {2}
    6,         20,         █░,             110,             ██░, {2 3}
   12,        110,        ▒▒░,            1100,            ██░░, {2 3}
   18,        200,        █░░,           10010,           █░░█░, {2 3}
   30,       1010,       ▒░▒░,           11110,           ████░, {2 3 5}
   42,       1120,       ▒▒█░,          101010,          █░█░█░, {2 3 7}
   60,       2020,       █░█░,          111100,          ████░░, {2 3 5}
   72,       2200,       ██░░,         1001000,         █░░█░░░, {2 3}
  102,      10210,      ▒░█▒░,         1100110,         ██░░██░, {2 3 17}
  108,      11000,      ▒▒░░░,         1101100,         ██░██░░, {2 3}
  138,      12010,      ▒█░▒░,        10001010,        █░░░█░█░, {2 3 23}
  150,      12120,      ▒█▒█░,        10010110,        █░░█░██░, {2 3 5}
  180,      20200,      █░█░░,        10110100,        █░██░█░░, {2 3 5}
  192,      21010,      █▒░▒░,        11000000,        ██░░░░░░, {2 3}
  198,      21100,      █▒▒░░,        11000110,        ██░░░██░, {2 3 11}
  228,      22110,      ██▒▒░,        11100100,        ███░░█░░, {2 3 19}
  240,      22220,      ████░,        11110000,        ████░░░░, {2 3 5}
  270,     101000,     ▒░▒░░░,       100001110,       █░░░░███░, {2 3 5}
  282,     101110,     ▒░▒▒▒░,       100011010,       █░░░██░█░, {2 3 47}
  312,     102120,     ▒░█▒█░,       100111000,       █░░███░░░, {2 3 13}
  348,     110220,     ▒▒░██░,       101011100,       █░█░███░░, {2 3 29}
  420,     120120,     ▒█░▒█░,       110100100,       ██░█░░█░░, {2 3 5 7}
  432,     121000,     ▒█▒░░░,       110110000,       ██░██░░░░, {2 3}
  462,     122010,     ▒██░▒░,       111001110,       ███░░███░, {2 3 7 11}
  522,     201100,     █░▒▒░░,      1000001010,      █░░░░░█░█░, {2 3 29}
  570,     210010,     █▒░░▒░,      1000111010,      █░░░███░█░, {2 3 5 19}
  600,     211020,     █▒▒░█░,      1001011000,      █░░█░██░░░, {2 3 5}
  618,     211220,     █▒▒██░,      1001101010,      █░░██░█░█░, {2 3 103}
  642,     212210,     █▒██▒░,      1010000010,      █░█░░░░░█░, {2 3 107}
  660,     220110,     ██░▒▒░,      1010010100,      █░█░░█░█░░, {2 3 5 11}
  810,    1010000,    ▒░▒░░░░,      1100101010,      ██░░█░█░█░, {2 3 5}
  822,    1010110,    ▒░▒░▒▒░,      1100110110,      ██░░██░██░, {2 3 137}
